No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Initialize shadcn/ui properly,Use the CLI to initialize shadcn/ui with correct configuration,Run npx shadcn@latest init,Manually copy component files,"npx shadcn@latest init
# Follow prompts for:
# - TypeScript
# - Style (default/new-york)
# - Base color
# - CSS variables","# Manually copying files
cp -r shadcn-ui/components ./components
# Missing configuration",error,https://ui.shadcn.com/docs/installation
2,Setup,Configure components.json correctly,components.json defines paths and styling options,Set correct aliases and paths,Use default paths that don't match project,"{
  ""$schema"": ""https://ui.shadcn.com/schema.json"",
  ""style"": ""default"",
  ""rsc"": true,
  ""tsx"": true,
  ""aliases"": {
    ""components"": ""@/components"",
    ""utils"": ""@/lib/utils""
  }
}","{
  ""aliases"": {
    ""components"": ""./components""
  }
}
// Incorrect relative path",error,https://ui.shadcn.com/docs/components-json
3,Setup,Install components as needed,Add components individually using the CLI,Install components you need with CLI,Install all components upfront,"npx shadcn@latest add button
npx shadcn@latest add card
npx shadcn@latest add dialog","npx shadcn@latest add --all
# Bloats project with unused components",warning,https://ui.shadcn.com/docs/cli
4,Setup,Keep utils function updated,The cn utility combines class names properly,Use cn() for all conditional classes,Use template literals for classes,"import { cn } from '@/lib/utils'
<div className={cn(
  'base-class',
  isActive && 'active-class',
  className
)}>","<div className={`base-class ${isActive ? 'active-class' : ''} ${className}`}>
// Messy, no deduplication",warning,https://ui.shadcn.com/docs/installation#add-a-cn-helper
5,Theming,Use CSS variables for colors,shadcn/ui uses CSS custom properties for theming,Define colors as CSS variables in globals.css,Hardcode colors in components,"/* globals.css */
:root {
  --primary: 222.2 47.4% 11.2%;
  --primary-foreground: 210 40% 98%;
}
.dark {
  --primary: 210 40% 98%;
}","<Button className=""bg-[#1a1a2e] text-white"">
  <!-- Hardcoded, won't theme -->
</Button>",error,https://ui.shadcn.com/docs/theming
6,Theming,Support dark mode properly,Implement dark mode with class or system preference,Use next-themes or similar for mode switching,Implement custom dark mode logic,"// app/layout.tsx
import { ThemeProvider } from '@/components/theme-provider'
<ThemeProvider attribute=""class"" defaultTheme=""system"">
  {children}
</ThemeProvider>","// Custom implementation
const [dark, setDark] = useState(false)
useEffect(() => {
  document.body.classList.toggle('dark', dark)
}, [dark])",warning,https://ui.shadcn.com/docs/dark-mode
7,Theming,Use semantic color names,Apply colors by their purpose not their appearance,Use primary secondary destructive etc,Use specific color names,"<Button variant=""destructive"">Delete</Button>
<Badge variant=""secondary"">Draft</Badge>
<Alert variant=""default"">Info</Alert>","<Button className=""bg-red-500"">Delete</Button>
<Badge className=""bg-gray-200"">Draft</Badge>
// Won't follow theme",warning,https://ui.shadcn.com/docs/theming#colors
8,Components,Import components from local path,Components are copied to your project for customization,Import from @/components/ui,Import from shadcn package,"import { Button } from '@/components/ui/button'
import { Card } from '@/components/ui/card'","import { Button } from 'shadcn/ui'
// Package doesn't exist",error,https://ui.shadcn.com/docs
9,Components,Use composition over configuration,Components are built with composition patterns,Compose components with children and slots,Expect single component with many props,"<Card>
  <CardHeader>
    <CardTitle>Title</CardTitle>
    <CardDescription>Description</CardDescription>
  </CardHeader>
  <CardContent>Content</CardContent>
  <CardFooter>Footer</CardFooter>
</Card>","<Card
  title=""Title""
  description=""Description""
  content=""Content""
  footer=""Footer""
/>
// Not how shadcn works",error,https://ui.shadcn.com/docs/components/card
10,Components,Forward refs correctly,Components should forward refs for DOM access,Use forwardRef and spread props,Ignore ref forwarding,"const Button = React.forwardRef<
  HTMLButtonElement,
  ButtonProps
>(({ className, ...props }, ref) => (
  <button ref={ref} {...props} />
))
Button.displayName = 'Button'","const Button = ({ className, ...props }) => (
  <button {...props} />
)
// No ref forwarding",warning,https://ui.shadcn.com/docs/components/button
