No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,State,Use useState for simple local state,useState is ideal for primitive values and simple objects,Use useState for form inputs and toggles,Use useState for complex nested state,"const [count, setCount] = useState(0)","const [data, setData] = useState({deeply: {nested: {}}})",medium,https://react.dev/reference/react/useState
2,State,Use useReducer for complex state logic,useReducer is better when state updates depend on previous state or involve multiple sub-values,Use useReducer for form state with validation,Use useState with complex update logic,"const [state, dispatch] = useReducer(reducer, init)","const [form, setForm] = useState({}); setForm({...form, [field]: value})",medium,https://react.dev/reference/react/useReducer
3,State,Initialize state with lazy initializer,Use function form to avoid expensive computations on every render,Pass function to useState for expensive initial values,Compute expensive initial state inline,"useState(() => computeExpensiveValue())","useState(computeExpensiveValue())",high,https://react.dev/reference/react/useState#avoiding-recreating-the-initial-state
4,State,Update state immutably,Never mutate state directly - create new references,Use spread operator or immer for updates,Mutate arrays or objects directly,"setItems([...items, newItem])","items.push(newItem); setItems(items)",critical,https://react.dev/learn/updating-objects-in-state
5,Effects,Include all dependencies in useEffect,Missing dependencies cause stale closures and bugs,Add all referenced values to dependency array,Omit dependencies to prevent re-runs,"useEffect(() => { fetch(url) }, [url])","useEffect(() => { fetch(url) }, [])",critical,https://react.dev/reference/react/useEffect#specifying-reactive-dependencies
6,Effects,Use cleanup functions to prevent memory leaks,Return cleanup function from useEffect for subscriptions and timers,Return cleanup for event listeners and intervals,Leave subscriptions open on unmount,"useEffect(() => { sub(); return () => unsub() }, [])","useEffect(() => { sub() }, [])",critical,https://react.dev/learn/synchronizing-with-effects#how-to-handle-the-effect-firing-twice-in-development
7,Effects,Avoid useEffect for derived state,Compute derived values during render instead,Calculate derived state inline or with useMemo,Store derived state and sync with useEffect,"const fullName = `${first} ${last}`","useEffect(() => setFullName(`${first} ${last}`), [first, last])",high,https://react.dev/learn/you-might-not-need-an-effect#updating-state-based-on-props-or-state
8,Effects,Use useLayoutEffect for DOM measurements,useLayoutEffect runs synchronously after DOM mutations,Use useLayoutEffect to measure element dimensions,Use useEffect for layout-dependent code,"useLayoutEffect(() => { ref.current.getBoundingClientRect() }, [])","useEffect(() => { /* DOM measurement */ }, [])",medium,https://react.dev/reference/react/useLayoutEffect
9,Rendering,Avoid creating objects in JSX props,Object literals create new references on every render,Define objects outside render or use useMemo,Pass object literals as props directly,"const style = useMemo(() => ({ color }), [color])","<Comp style={{ color: 'red' }} />",medium,https://react.dev/reference/react/useMemo
10,Rendering,Use React.memo for expensive components,Wrap components that render often with same props,Memoize components that receive stable props,Memoize every component by default,"const List = React.memo(({ items }) => ...)","React.memo(SimpleButton) // unnecessary",medium,https://react.dev/reference/react/memo
