No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Rendering,Unnecessary Re-renders,memo useMemo useCallback,React/Next.js,Components re-render when props or state change even if the output would be identical,Use React.memo for functional components that receive the same props frequently,Wrap every component in React.memo without profiling first,"const MemoizedCard = React.memo(function Card({ title, data }) { return <div>{title}</div>; });","function Card({ title, data }) { return <div>{title}</div>; }",High
2,Rendering,Inline Function Props,onClick handlers callbacks,React/Next.js,Creating new function instances on every render causes child components to re-render,Define handlers outside render or use useCallback for stable references,"const handleClick = useCallback(() => { setCount(c => c + 1); }, []);","<Button onClick={() => setCount(count + 1)} />",Medium
3,Rendering,Inline Object Props,style props object literals,React/Next.js,Object literals create new references on every render triggering unnecessary updates,Use useMemo for object props or define objects outside component,"const styles = useMemo(() => ({ color: theme.primary }), [theme.primary]);","<Box style={{ color: theme.primary }} />",Medium
4,State Management,Excessive State Updates,setState batching,React/Next.js,Multiple setState calls in event handlers can cause multiple re-renders in older React,Use functional updates and batch related state changes together,"setItems(prev => [...prev, newItem]); setLoading(false);","setItems([...items, newItem]); setTotal(total + 1); setLoading(false);",Medium
5,State Management,Derived State Anti-pattern,useState useEffect derived,React/Next.js,Storing derived values in state creates sync issues and extra renders,Calculate derived values during render using useMemo,const total = useMemo(() => items.reduce((a b) => a + b.price 0) [items]);,"const [total, setTotal] = useState(0); useEffect(() => { setTotal(items.reduce(...)); }, [items]);",High
6,State Management,State Colocation,global state local state,React/Next.js,Putting all state in global stores causes unnecessary component updates,Keep state as close to where it is used as possible,Use useState for component-local state and context for shared state,Put every piece of state in Redux/Zustand regardless of scope,High
7,Data Fetching,Waterfall Requests,useEffect fetch sequential,React/Next.js,Sequential data fetching in useEffect creates loading waterfalls,Use parallel fetching with Promise.all or React Query's useQueries,"const [users, posts] = await Promise.all([fetchUsers(), fetchPosts()]);","useEffect(() => { fetchUsers().then(() => fetchPosts()); }, []);",High
8,Data Fetching,Missing Request Deduplication,SWR React Query cache,React/Next.js,Multiple components fetching the same data waste bandwidth and cause inconsistencies,Use SWR or React Query for automatic request deduplication and caching,"const { data } = useSWR('/api/user', fetcher);","useEffect(() => { fetch('/api/user').then(setUser); }, []);",High
9,Data Fetching,Stale Closure in Effects,useEffect dependencies closure,React/Next.js,Accessing state in effects without proper dependencies leads to stale values,Include all dependencies in the dependency array or use functional updates,"useEffect(() => { fetchData(userId); }, [userId]);","useEffect(() => { fetchData(userId); }, []);",Critical
10,Bundle Size,Large Dependencies,lodash moment bundle,React/Next.js,Importing entire libraries when only using a few functions bloats bundle size,Use tree-shakeable imports or lighter alternatives,"import debounce from 'lodash/debounce';","import _ from 'lodash';",High
11,Bundle Size,Missing Code Splitting,dynamic import lazy,React/Next.js,Loading all JavaScript upfront delays initial page load,Use dynamic imports for routes and heavy components,"const Chart = dynamic(() => import('./Chart'), { ssr: false });","import Chart from './Chart';",High
12,Bundle Size,Unused Dependencies,package.json audit,React/Next.js,Dependencies that are no longer used still contribute to bundle size,Regularly audit and remove unused dependencies,Run npm-check or depcheck to find unused packages,Keep adding dependencies without cleanup,Medium
13,Images,Unoptimized Images,next/image lazy loading,Next.js,Large unoptimized images slow down page load and waste bandwidth,Use next/image for automatic optimization and lazy loading,"<Image src={url} width={400} height={300} alt=""Product"" />","<img src={url} alt=""Product"" />",High
14,Images,Missing Image Dimensions,CLS layout shift,React/Next.js,Images without dimensions cause layout shifts as they load,Always specify width and height or use aspect-ratio CSS,"<Image src={url} width={400} height={300} />","<img src={url} style={{ width: '100%' }} />",High
15,Images,Blocking LCP Images,priority preload,Next.js,Hero images loading late hurt Largest Contentful Paint scores,Add priority prop to above-the-fold images,"<Image src={hero} priority alt=""Hero"" />","<Image src={hero} alt=""Hero"" />",High
16,Lists,Missing Keys,key prop reconciliation,React/Next.js,Missing or unstable keys cause React to recreate DOM elements unnecessarily,Use stable unique identifiers as keys,"{items.map(item => <Item key={item.id} />)}","{items.map((item, index) => <Item key={index} />)}",Critical
17,Lists,Index as Key Anti-pattern,key index reorder,React/Next.js,Using array index as key causes bugs when list items are reordered or filtered,Use unique stable IDs from your data as keys,"{items.map(item => <Item key={item.uuid} />)}","{items.map((item, i) => <Item key={i} />)}",High
18,Lists,Virtualization Missing,large lists scroll,React/Next.js,Rendering thousands of list items at once causes jank and memory issues,Use virtualization libraries for lists over 100 items,"<VirtualList items={items} rowRenderer={renderRow} />","{largeArray.map(item => <Row item={item} />)}",High
19,Effects,Missing Cleanup,useEffect cleanup memory,React/Next.js,Not cleaning up subscriptions and timers causes memory leaks,Return cleanup function from useEffect,"useEffect(() => { const id = setInterval(fn, 1000); return () => clearInterval(id); }, []);","useEffect(() => { setInterval(fn, 1000); }, []);",Critical
20,Effects,Fetching in useEffect,race condition abort,React/Next.js,Async operations in useEffect can complete after unmount causing errors,Use AbortController or data fetching libraries with cancellation,"useEffect(() => { const controller = new AbortController(); fetch(url, { signal: controller.signal }); return () => controller.abort(); }, [url]);","useEffect(() => { fetch(url).then(setData); }, [url]);",High
21,Effects,Over-fetching,useEffect polling,React/Next.js,Fetching data too frequently wastes resources and can hit rate limits,Use appropriate intervals and implement request throttling,Set polling interval based on data freshness requirements,Poll every second for data that changes hourly,Medium
22,Context,Context Provider Placement,Context re-render tree,React/Next.js,Placing providers too high in the tree causes unnecessary re-renders,Place context providers as close to consumers as possible,Wrap only the components that need the context,Wrap entire app in every context provider at root level,Medium
23,Context,Large Context Values,Context splitting,React/Next.js,Putting many values in one context causes all consumers to re-render on any change,Split context by update frequency or use context selectors,Create separate contexts for theme and user and settings,Put theme user settings and everything in one AppContext,High
24,Context,Missing Context Memoization,useMemo context value,React/Next.js,Context value objects recreated on every render cause consumer re-renders,Memoize context values with useMemo,"const value = useMemo(() => ({ user, setUser }), [user]);","<UserContext.Provider value={{ user, setUser }}>",High
