No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use functional components with hooks,Functional components are the modern standard in React Native and provide better performance and cleaner code than class components,Write functional components using useState and useEffect hooks,Use class components for new code,"const MyComponent = () => { const [count, setCount] = useState(0); return <Text>{count}</Text>; }","class MyComponent extends Component { state = { count: 0 }; render() { return <Text>{this.state.count}</Text>; } }",error,https://reactnative.dev/docs/intro-react
2,Components,Memoize expensive components,Use React.memo to prevent unnecessary re-renders of components that receive the same props,Wrap pure components with React.memo when they render frequently,Memoize every component without profiling first,"const ExpensiveList = React.memo(({ items }) => { return items.map(item => <Item key={item.id} {...item} />); });","const ExpensiveList = ({ items }) => { return items.map(item => <Item key={item.id} {...item} />); };",warning,https://reactnative.dev/docs/optimizing-flatlist-configuration
3,Components,Extract reusable components,Break down complex UIs into smaller reusable components for better maintainability and testing,Create atomic components that handle one responsibility,Build monolithic components with multiple concerns,"const Button = ({ title, onPress, variant }) => <Pressable onPress={onPress}><Text>{title}</Text></Pressable>;","const Screen = () => { /* 500 lines of mixed UI logic */ };",warning,https://reactnative.dev/docs/intro-react
4,Components,Use proper component naming,Component names should be descriptive PascalCase and reflect their purpose,Name components based on their function like UserProfileCard,Use generic names like Component1 or MyView,"export const TraderRankingCard = ({ trader }) => { ... };","export const Card1 = ({ data }) => { ... };",info,https://reactnative.dev/docs/intro-react
5,Styling,Use StyleSheet.create for styles,StyleSheet.create optimizes styles and validates them at compile time providing better performance,Define styles using StyleSheet.create outside component body,Define inline style objects repeatedly,"const styles = StyleSheet.create({ container: { flex: 1, padding: 16 } });","<View style={{ flex: 1, padding: 16 }}>",error,https://reactnative.dev/docs/stylesheet
6,Styling,Avoid inline styles for performance,Inline styles create new objects on every render causing unnecessary reconciliation work,Use pre-defined styles from StyleSheet or cached style references,Pass object literals directly to style prop,"<View style={styles.container}>","<View style={{ marginTop: 10, backgroundColor: '#fff' }}>",warning,https://reactnative.dev/docs/stylesheet
7,Styling,Use flexbox for layouts,React Native uses Flexbox for layout which works consistently across platforms,Master flexDirection alignItems justifyContent and flex properties,Use absolute positioning for everything,"const styles = StyleSheet.create({ row: { flexDirection: 'row', justifyContent: 'space-between' } });","const styles = StyleSheet.create({ item: { position: 'absolute', top: 100, left: 50 } });",error,https://reactnative.dev/docs/flexbox
8,Styling,Implement responsive design,Support different screen sizes using Dimensions API or useWindowDimensions hook,Calculate sizes relative to screen dimensions or use percentage values,Hardcode pixel values that only work on one device size,"const { width } = useWindowDimensions(); const cardWidth = width * 0.9;","const cardWidth = 350;",warning,https://reactnative.dev/docs/dimensions
9,Styling,Use platform-specific styles,Apply different styles for iOS and Android when needed using Platform module,Use Platform.select or Platform.OS for platform-specific styling,Write separate stylesheets for each platform,"const styles = StyleSheet.create({ shadow: Platform.select({ ios: { shadowColor: '#000' }, android: { elevation: 4 } }) });","// ios-styles.js and android-styles.js with duplicated code",info,https://reactnative.dev/docs/platform-specific-code
10,Navigation,Use React Navigation library,React Navigation is the recommended navigation solution with excellent performance and customization,Install and configure React Navigation with proper TypeScript types,Build custom navigation from scratch,"const Stack = createNativeStackNavigator(); <Stack.Navigator><Stack.Screen name='Home' component={Home} /></Stack.Navigator>","const [currentScreen, setCurrentScreen] = useState('home'); // Manual navigation",error,https://reactnavigation.org/docs/getting-started
11,Navigation,Type navigation props properly,TypeScript typing for navigation prevents runtime errors and improves developer experience,Define RootStackParamList and use typed hooks like useNavigation<NavigationProp>,Use any type or skip navigation typing,"type Props = NativeStackScreenProps<RootStackParamList, 'Profile'>; const ProfileScreen = ({ navigation, route }: Props) => { ... };","const ProfileScreen = ({ navigation, route }: any) => { ... };",warning,https://reactnavigation.org/docs/typescript
