No,Product Type,Primary Color,Primary Hex,Secondary Color,Secondary Hex,CTA Color,CTA Hex,Background Color,Background Hex,Text Color,Text Hex,Border Color,Border Hex,Accent Color,Accent Hex,Color Psychology,Usage Notes
1,SaaS Platform,Deep Blue,#1E40AF,Slate Gray,#64748B,Electric Blue,#3B82F6,White,#FFFFFF,Charcoal,#1F2937,Light Gray,#E5E7EB,Cyan,#06B6D4,Trust and professionalism,Use blue for CTAs and navigation highlights
2,E-commerce Fashion,Black,#000000,Warm Gray,#78716C,Rose Gold,#B76E79,Off White,#FAFAF9,Dark Gray,#374151,Beige,#D6D3D1,Blush Pink,#FBCFE8,Elegance and sophistication,Minimalist approach with accent pops
3,FinTech Banking,Navy Blue,#1E3A5F,Silver,#C0C0C0,Green,#10B981,Light Blue Gray,#F1F5F9,Dark Navy,#0F172A,Steel Blue,#94A3B8,Gold,#F59E0B,Security and growth,Green for positive actions and growth
4,Healthcare Medical,Teal,#0D9488,Light Teal,#5EEAD4,Coral,#F97316,Soft White,#F8FAFC,Dark Teal,#134E4A,Mint,#A7F3D0,Warm Orange,#FB923C,Calm and caring,Soft colors reduce anxiety
5,EdTech Learning,Purple,#7C3AED,Lavender,#C4B5FD,Orange,#F97316,Cream,#FFFBEB,Dark Purple,#4C1D95,Light Purple,#EDE9FE,Yellow,#FBBF24,Creativity and knowledge,Energetic accents for engagement
6,Real Estate,Forest Green,#166534,Sage,#84CC16,Gold,#CA8A04,Warm White,#FFFBF0,Dark Green,#14532D,Light Sage,#ECFCCB,Terracotta,#C2410C,Growth and stability,Earthy tones convey trust
7,Food Delivery,Red Orange,#EA580C,Cream,#FEF3C7,Red,#DC2626,White,#FFFFFF,Dark Brown,#451A03,Warm Beige,#FDE68A,Yellow,#EAB308,Appetite and urgency,Warm colors stimulate hunger
8,Fitness Wellness,Energetic Orange,#F97316,Dark Gray,#374151,Lime Green,#84CC16,Near Black,#0A0A0A,White,#FFFFFF,Charcoal,#27272A,Electric Yellow,#FACC15,Energy and vitality,High contrast for impact
9,Travel Tourism,Sky Blue,#0EA5E9,Sand,#D4A574,Sunset Orange,#FB923C,Light Sky,#F0F9FF,Deep Blue,#0C4A6E,Cloud White,#F8FAFC,Coral,#F472B6,Freedom and adventure,Evoke wanderlust and relaxation
10,Gaming Entertainment,Neon Purple,#A855F7,Electric Blue,#3B82F6,Hot Pink,#EC4899,Dark Purple,#1E1B4B,White,#FFFFFF,Dark Blue,#312E81,Neon Green,#4ADE80,Excitement and immersion,Bold neon for gaming audience
11,Legal Services,Navy,#1E3A8A,Burgundy,#7F1D1D,Gold,#B45309,Ivory,#FFFFF0,Dark Navy,#172554,Warm Gray,#A8A29E,Bronze,#92400E,Authority and tradition,Conservative palette builds trust
12,Non-Profit Charity,Warm Orange,#EA580C,Forest Green,#15803D,Blue,#2563EB,Soft Cream,#FEF7ED,Dark Brown,#431407,Light Orange,#FED7AA,Teal,#14B8A6,Compassion and hope,Warm colors evoke empathy
13,Crypto Blockchain,Electric Purple,#8B5CF6,Cyan,#06B6D4,Neon Green,#22C55E,Deep Black,#09090B,White,#FFFFFF,Dark Gray,#18181B,Pink,#EC4899,Innovation and future,Dark mode with neon accents
14,Music Streaming,Spotify Green,#1DB954,Black,#000000,White,#FFFFFF,Dark Gray,#121212,Light Gray,#B3B3B3,Medium Gray,#282828,Pink,#FF6B9D,Energy and creativity,Dark interface reduces eye strain
15,Social Media,Blue,#1877F2,Light Blue,#E7F3FF,Green,#42B72A,White,#FFFFFF,Dark Gray,#1C1E21,Light Gray,#F0F2F5,Red,#FA383E,Connection and trust,Familiar blue builds recognition
16,News Media,Red,#BE123C,Black,#000000,Blue,#1D4ED8,White,#FFFFFF,Dark Gray,#111827,Light Gray,#F3F4F6,Yellow,#CA8A04,Urgency and authority,Red for breaking news alerts
17,Productivity Tools,Indigo,#4F46E5,Slate,#475569,Green,#22C55E,Light Gray,#F9FAFB,Dark Indigo,#312E81,Medium Gray,#E5E7EB,Orange,#F97316,Focus and efficiency,Clean colors reduce distraction
18,Dating Apps,Pink,#EC4899,Purple,#A855F7,Red,#EF4444,Soft Pink,#FDF2F8,Dark Pink,#831843,Light Purple,#F5D0FE,Gold,#F59E0B,Romance and excitement,Warm colors create intimacy
19,Job Recruitment,Professional Blue,#2563EB,Gray,#6B7280,Green,#059669,White,#FFFFFF,Dark Blue,#1E40AF,Light Blue,#DBEAFE,Orange,#EA580C,Professionalism and opportunity,Blue conveys corporate trust
20,Pet Services,Playful Orange,#F97316,Sky Blue,#38BDF8,Green,#22C55E,Warm Cream,#FFFBEB,Brown,#78350F,Peach,#FFEDD5,Purple,#A855F7,Fun and friendly,Warm inviting colors for pet lovers
21,Automotive,Metallic Gray,#6B7280,Red,#DC2626,Black,#000000,White,#FFFFFF,Dark Gray,#1F2937,Light Gray,#E5E7EB,Silver,#CBD5E1,Power and precision,Industrial palette for auto industry
22,Beauty Cosmetics,Rose,#F43F5E,Gold,#D97706,Black,#000000,Blush,#FFF1F2,Dark Rose,#9F1239,Soft Pink,#FCE7F3,Champagne,#E7D4B5,Luxury and femininity,Elegant soft palette
23,Insurance,Navy Blue,#1E3A8A,Green,#059669,Orange,#EA580C,Light Blue,#EFF6FF,Dark Navy,#172554,Silver,#CBD5E1,Gold,#B45309,Security and reliability,Conservative colors build confidence
24,Agriculture Farming,Earth Green,#166534,Brown,#78350F,Yellow,#CA8A04,Cream,#FFFBEB,Dark Green,#14532D,Sage,#D9F99D,Terracotta,#C2410C,Nature and growth,Organic earthy palette
