No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Widgets,Use const constructors for immutable widgets,Const constructors allow Flutter to reuse widget instances improving performance,Mark widgets as const when all parameters are compile-time constants,Create new widget instances unnecessarily,"const Text('Hello World', style: TextStyle(fontSize: 16))","Text('Hello World', style: TextStyle(fontSize: 16))",warning,https://docs.flutter.dev/perf/best-practices#use-const-widgets-when-possible
2,Widgets,Keep build methods pure,Build methods should only construct the widget tree without side effects,Return widget tree based only on current state and props,Call setState or perform async operations in build,"@override Widget build(BuildContext context) { return Text(counter.toString()); }","@override Widget build(BuildContext context) { fetchData(); return Text(data); }",error,https://docs.flutter.dev/perf/best-practices
3,Widgets,Extract widgets into separate classes,Break down complex widgets into smaller focused widget classes for reusability,Create custom widget classes for reusable UI components,Build everything in one massive build method,"class TraderCard extends StatelessWidget { final Trader trader; const TraderCard({required this.trader}); @override Widget build(BuildContext context) => Card(child: ...); }","Widget build(context) { return Column(children: [/* 500 lines */]); }",warning,https://docs.flutter.dev/ui/widgets
4,Widgets,Use StatelessWidget when possible,StatelessWidget is more efficient when the widget does not need to manage state,Use StatelessWidget for widgets that only depend on constructor parameters,Use StatefulWidget when no internal state is needed,"class GreetingWidget extends StatelessWidget { final String name; const GreetingWidget({required this.name}); @override Widget build(context) => Text('Hello $name'); }","class GreetingWidget extends StatefulWidget { final String name; ... } // No internal state used",warning,https://docs.flutter.dev/ui/interactivity
5,Widgets,Prefer composition over inheritance,Compose widgets by combining smaller widgets rather than extending existing ones,Build complex widgets by composing simpler widgets,Create deep widget inheritance hierarchies,"class PrimaryButton extends StatelessWidget { @override Widget build(context) => ElevatedButton(style: primaryStyle, ...); }","class PrimaryButton extends ElevatedButton { // Overriding internal behavior }",info,https://docs.flutter.dev/ui/widgets
6,State,Use setState correctly,Call setState only when state actually changes and include only state changes inside,Call setState with minimal state changes and after validating the change,Call setState unnecessarily or with heavy computations inside,"void _increment() { if (_counter < maxValue) { setState(() { _counter++; }); } }","void _increment() { setState(() { _counter++; expensiveComputation(); }); }",error,https://docs.flutter.dev/ui/interactivity
7,State,Use appropriate state management,Choose the right state management solution based on app complexity,Use Provider/Riverpod for most apps and Bloc for complex business logic,Use setState for everything in a complex app,"final counterProvider = StateProvider<int>((ref) => 0); // Using Riverpod","class _MyAppState extends State<MyApp> { int globalCounter = 0; String userName = ''; // All state in root }",warning,https://docs.flutter.dev/data-and-backend/state-mgmt/options
8,State,Lift state appropriately,Place state at the lowest common ancestor that needs access to it,Keep state close to where it is used and lift only when necessary,Put all state at the app root for convenience,"class _SearchPageState { String _query = ''; } // State stays in search page","class _AppState { String searchQuery = ''; String userName = ''; String theme = ''; } // All state in root",warning,https://docs.flutter.dev/data-and-backend/state-mgmt/simple
9,State,Use ValueNotifier for simple reactive state,ValueNotifier provides simple reactive state management without additional packages,Use ValueNotifier with ValueListenableBuilder for simple local state,Import heavy state management packages for trivial state,"final counter = ValueNotifier<int>(0); ValueListenableBuilder(valueListenable: counter, builder: (ctx, value, _) => Text('$value'))","// Using Bloc for a simple counter with no business logic",info,https://api.flutter.dev/flutter/foundation/ValueNotifier-class.html
10,State,Avoid global mutable state,Global mutable state makes apps hard to test and reason about,Use dependency injection and scoped state management,Create global variables for app state,"final authProvider = Provider<AuthService>((ref) => AuthService());","AuthService authService = AuthService(); // Global variable",error,https://docs.flutter.dev/data-and-backend/state-mgmt/simple
11,Layout,Use Flexible and Expanded correctly,Understand the difference between Flexible and Expanded for proper flex layouts,Use Expanded when child should fill available space and Flexible for proportional sizing,Confuse Flexible and Expanded or nest them incorrectly,"Row(children: [Expanded(child: Text('Long text')), Icon(Icons.star)])","Row(children: [Flexible(child: Expanded(child: Text('Text')))])",warning,https://docs.flutter.dev/ui/layout#lay-out-multiple-widgets-vertically-and-horizontally
12,Layout,Avoid unbounded constraints,Ensure widgets have bounded height and width constraints to prevent overflow,Wrap scrollable content in containers with defined constraints,Put ListView directly inside Column without constraints,"Column(children: [Expanded(child: ListView(children: items))])","Column(children: [ListView(children: items)]) // Unbounded height",error,https://docs.flutter.dev/ui/layout/constraints
13,Layout,Use LayoutBuilder for responsive layouts,LayoutBuilder provides parent constraints allowing responsive widget building,Use LayoutBuilder to adapt UI based on available space,Hardcode sizes that only work on specific screen sizes,"LayoutBuilder(builder: (context, constraints) { return constraints.maxWidth > 600 ? WideLayout() : NarrowLayout(); })","Container(width: 400) // Fixed width ignoring screen size",warning,https://api.flutter.dev/flutter/widgets/LayoutBuilder-class.html
14,Layout,Implement SafeArea correctly,SafeArea protects content from notches status bars and system UI,Wrap main content in SafeArea to respect system insets,Ignore safe area insets causing content to be hidden,"Scaffold(body: SafeArea(child: MyContent()))","Scaffold(body: MyContent()) // May be hidden by notch",warning,https://api.flutter.dev/flutter/widgets/SafeArea-class.html
15,Layout,Use SizedBox for spacing,SizedBox is more efficient than Container for simple spacing,Use SizedBox for fixed spacing between widgets,Use Container with only width or height set,"Column(children: [Text('A'), SizedBox(height: 16), Text('B')])","Column(children: [Text('A'), Container(height: 16), Text('B')])",info,https://api.flutter.dev/flutter/widgets/SizedBox-class.html
16,Lists,Use ListView.builder for long lists,ListView.builder lazily builds children providing better performance for long lists,Use ListView.builder for lists with many items,Use ListView with children array for dynamic lists,"ListView.builder(itemCount: traders.length, itemBuilder: (ctx, i) => TraderTile(traders[i]))","ListView(children: traders.map((t) => TraderTile(t)).toList())",error,https://docs.flutter.dev/cookbook/lists/long-lists
17,Lists,Implement itemExtent for fixed height items,Providing itemExtent allows Flutter to skip measuring items improving scroll performance,Set itemExtent when all list items have the same height,Skip itemExtent for lists with many fixed-height items,"ListView.builder(itemExtent: 80, itemBuilder: (ctx, i) => ListTile())","ListView.builder(itemBuilder: (ctx, i) => ListTile())",warning,https://api.flutter.dev/flutter/widgets/ListView/itemExtent.html
18,Lists,Use keys for stateful list items,Keys help Flutter track items correctly when the list changes,Add keys to list items that have state or can be reordered,Omit keys from lists that can be modified,"ListView.builder(itemBuilder: (ctx, i) => ListTile(key: ValueKey(items[i].id)))","ListView.builder(itemBuilder: (ctx, i) => ListTile()) // No keys for dynamic list",warning,https://docs.flutter.dev/ui/widgets-intro#keys
