No,Style_Name,Type,Characteristics,Primary_Colors,Secondary_Colors,Typography,Animations,Use_Cases,Compatibility,Accessibility_Notes,Example_Brands
1,Minimalist,Visual,Clean layouts generous whitespace limited color palette focused content,White Black Neutral grays,Single accent color,Sans-serif clean weights,Subtle fade micro-interactions,Portfolio SaaS landing pages luxury brands,High compatibility across browsers,Excellent contrast easy to maintain WCAG compliance,Apple Muji Everlane
2,Brutalist,Visual,Raw unpolished intentionally rough exposed structure bold typography,Black White High contrast,Neon accents primary colors,Monospace bold display fonts,Minimal or jarring intentional,Art galleries creative agencies experimental projects,Good compatibility avoid complex effects,Can be challenging needs careful contrast management,Bloomberg Craigslist
3,Neumorphism,Visual,Soft UI extruded shapes subtle shadows depth illusion,Soft grays pastels muted tones,Slightly darker lighter variants,Rounded sans-serif,Smooth transitions press effects,Calculators music players dashboard widgets,Modern browsers CSS limitations on older,Poor accessibility low contrast issues avoid for critical UI,Skeuomorphic apps
4,Glassmorphism,Visual,Frosted glass transparency blur layered depth,Transparent overlays soft whites,Gradient accents vibrant behind,Light weight sans-serif,Smooth parallax hover reveals,Hero sections cards modals overlays,Requires backdrop-filter modern browsers only,Needs solid fallbacks text contrast issues,Apple macOS Windows 11
5,Material Design,System,Depth through elevation grid-based layouts bold colors motion,Primary secondary surfaces,Error warning success states,Roboto font scale,Meaningful motion shared axis transitions,Android apps cross-platform enterprise dashboards,Excellent comprehensive system,Built-in accessibility guidelines excellent documentation,Google Android apps
6,Flat Design,Visual,No shadows gradients or textures two-dimensional bold colors,Bright saturated colors,Complementary accent colors,Clean sans-serif geometric,Minimal subtle hover states,Mobile apps icons infographics,Universal support simple CSS,Good contrast when colors chosen well,Microsoft Windows 8 iOS 7
7,Skeuomorphism,Visual,Real-world textures shadows realistic materials,Natural wood leather metal,Realistic gradients textures,Varied including serif decorative,Realistic physics shadows,Games specialty apps nostalgic designs,Good but requires more assets,Can be cluttered careful with decorative elements,Early iOS classic Mac
8,Dark Mode,Theme,Dark backgrounds light text reduced eye strain,Dark grays near-black surfaces,Desaturated accent colors,Light weight high contrast,Same as light mode variants,Night reading apps developer tools media apps,Universal requires proper implementation,Needs careful contrast ratios avoid pure black,Spotify Discord GitHub
9,Gradient Heavy,Visual,Vibrant color transitions depth through gradients mesh effects,Multi-color gradients purples pinks,Complementary gradient stops,Modern sans-serif,Gradient shifts morphing colors,Marketing pages creative brands music apps,Good CSS gradient support wide,Ensure text contrast over gradients,Instagram Stripe
10,Retro Vintage,Visual,Nostalgic throwback specific era references aged textures,Muted warm tones sepia,Accent from era being referenced,Retro display fonts serif,Subtle or era-appropriate,Food beverage brands nostalgic products events,Good may need image fallbacks,Variable depends on execution,Mailchimp old branding
11,Cyberpunk,Visual,Neon colors dark backgrounds tech dystopia glitch effects,Neon pink cyan electric blue,Dark purple black backgrounds,Tech display fonts monospace,Glitches flickers scan lines,Gaming tech events entertainment,Good but complex animations may need fallbacks,Can be challenging high contrast neons,Cyberpunk 2077 gaming sites
12,Organic Natural,Visual,Flowing shapes earth tones natural textures soft edges,Greens browns earth tones,Cream off-white soft accents,Organic humanist fonts,Gentle flowing nature-inspired,Wellness eco-friendly food nature brands,Good avoid complex SVG animations on mobile,Generally good natural contrast,Whole Foods Patagonia
13,Geometric,Visual,Strong shapes patterns mathematical precision grid-based,Often bold primary colors,Black white structural,Geometric sans-serif fonts,Shape morphing rotations,Architecture design tech brands,Excellent simple shapes,Good clear visual hierarchy,Bauhaus-inspired brands
14,Isometric,Visual,3D illusion 2D perspective depth without 3D rendering,Varied often bright illustrative,Shadows for depth indication,Clean modern sans-serif,Rotation assembly reveal,Tech explainers SaaS landing pages,Good may need SVG optimization,Ensure text remains readable,Stripe Slack illustrations
15,Memphis,Visual,Bold colors geometric shapes squiggles playful chaotic,Bright primary colors pastels,Black outlines patterns,Bold playful display fonts,Bouncy energetic movements,Youth brands creative agencies events,Good simple CSS shapes,Can be visually busy ensure hierarchy,80s inspired modern takes
16,Art Deco,Visual,Luxury geometric ornamental symmetry gold accents,Gold black cream deep colors,Metallic accents jewel tones,Elegant serif display fonts,Subtle elegant reveals,Luxury brands events hospitality,Good avoid complex ornaments on mobile,Good with proper contrast,Gatsby-era inspired luxury brands
17,Kawaii Cute,Visual,Adorable characters pastel colors rounded shapes,Pastels pink mint lavender,Soft yellows peachy tones,Rounded playful fonts,Bouncy cute animations,Kids products Asian markets gaming,Good simple shapes,Can be challenging ensure readability,Sanrio Japanese brands
18,Swiss International,Visual,Grid-based clean objective typography-focused,Black white minimal color,Single accent if any,Helvetica Akzidenz Grotesk,Minimal functional only,Corporate publishing editorial,Excellent simple timeless,Excellent clear hierarchy,Swiss design classics
19,Scandinavian,Visual,Functional minimal warmth natural materials cozy,White wood tones soft grays,Muted accent colors,Clean humanist sans-serif,Subtle functional,Furniture lifestyle home goods,Excellent simple clean,Excellent uncluttered,IKEA Muuto HAY
20,Japanese Minimal,Visual,Zen simplicity asymmetry natural ma negative space,Muted earth tones white,Accent from nature elements,Minimal clean fonts,Subtle meditative,Wellness cultural luxury minimal,Excellent restraint based,Excellent peaceful uncluttered,Muji Japanese brands
21,Industrial,Visual,Raw materials exposed structure metal concrete,Grays metallics rust,Warm accent colors,Bold condensed fonts,Mechanical movements,Manufacturing architecture urban brands,Good may need texture optimization,Good with proper contrast,Manufacturing sites urban brands
22,Maximalist,Visual,Bold busy layered more is more rich details,Many colors vibrant rich,Everything and anything,Mixed varied layered,Many complex overlapping,Fashion art entertainment bold brands,Can be heavy optimize carefully,Challenging ensure critical elements clear,Gucci Versace editorial
23,Corporate Clean,Visual,Professional trustworthy structured conservative,Blues grays whites,Green or accent for CTAs,Professional sans-serif,Minimal professional,Enterprise B2B finance healthcare,Excellent conservative approach,Excellent follows standards,IBM Microsoft enterprise
24,Startup Modern,Visual,Fresh energetic approachable gradient touches,Bright purples blues greens,Gradient combinations,Friendly modern sans-serif,Playful meaningful,Tech startups apps SaaS products,Very good modern CSS,Good vibrant but accessible,Notion Figma Slack
25,E-commerce Focused,Visual,Product-first clear CTAs trust signals conversion-focused,Neutral backgrounds vibrant CTAs,Category color coding,Readable clear hierarchy,Subtle encouraging interaction,Online stores marketplaces retail,Excellent conversion critical,Critical clear readable trustworthy,Amazon Shopify stores
26,Editorial Magazine,Visual,Typography-first dramatic imagery white space columns,High contrast type-focused,Accent for categories,Strong serif display,Subtle content-focused,Publications blogs news media,Good text-focused simple,Excellent reading focused,NYT Medium publications
27,Dashboard Data,Visual,Information-dense clear hierarchy functional data-first,Neutral backgrounds colored data,Status colors semantic,Monospace for data readable UI,Subtle functional feedback,Analytics admin panels data apps,Good may need careful charting,Critical clear data communication,Stripe Dashboard analytics tools
28,Gaming Esports,Visual,Dynamic energetic dark aggressive angular,Dark bases neon accents,Team brand colors,Bold angular display,Dynamic energetic effects,Gaming esports streaming entertainment,Good optimize animations,Can be challenging ensure key info clear,Twitch esports brands
29,Healthcare Medical,Visual,Clean trustworthy calming professional accessible,Blues greens clean whites,Soft accent colors,Clear readable accessible,Minimal calming,Healthcare medical wellness,Excellent critical accessibility,Critical highest standards required,Healthcare portals medical sites
30,Educational,Visual,Clear organized friendly approachable informative,Friendly warm colors,Subject color coding,Readable friendly fonts,Encouraging progress indicators,Learning platforms educational tools,Excellent accessibility matters,Critical learning accessibility,Coursera Khan Academy
31,Finance Banking,Visual,Trustworthy secure professional data-rich,Dark blues greens grays,Gold accent for premium,Professional clear fonts,Minimal secure feeling,Banking finance investment,Excellent security critical,Critical compliance requirements,Major banks fintech
32,Social Media,Visual,Engaging feed-based infinite scroll user content,Brand primary colors,Notification alerts status,System fonts readable,Engaging feedback loops,Social platforms communities,Excellent performance critical,Important inclusive design,Twitter Instagram TikTok
33,Travel Hospitality,Visual,Aspirational imagery immersive wanderlust,Blues warm sunset colors,Destination-specific accents,Elegant readable fonts,Immersive parallax reveals,Travel booking hospitality sites,Good image-heavy optimization needed,Good booking flow critical,Airbnb booking sites
34,Food Beverage,Visual,Appetizing warm inviting sensory delicious,Warm reds oranges earth tones,Food photography dominant,Friendly approachable fonts,Subtle mouth-watering,Restaurant food delivery recipe sites,Good image optimization critical,Good menu accessibility important,Delivery apps restaurant sites
35,Real Estate,Visual,Aspirational property-focused trustworthy local,Blues greens professional,Warm home accents,Professional readable fonts,Property reveals maps,Real estate property platforms,Good map integration needed,Good search accessibility,Zillow real estate sites
36,Automotive,Visual,Dynamic powerful sleek premium performance,Dark metallics brand colors,Performance accent colors,Bold modern fonts,Dynamic reveals motion,Car brands automotive sites,Good 3D may need fallbacks,Good critical purchase journey,Car manufacturer sites
37,Fashion Luxury,Visual,Elegant editorial aspirational exclusive refined,Black white gold accent,Seasonal fashion colors,Elegant serif display,Elegant reveals transitions,Fashion brands luxury retail,Good image-heavy optimize,Good but artistic freedom,Fashion house sites
38,Tech Product,Visual,Innovative clean feature-focused demo-driven,Dark light modes neutral,Accent for features CTAs,Modern tech fonts,Product demos interactions,Tech product sites app marketing,Excellent product demos optimize,Good feature accessibility,Apple product pages
39,Nonprofit Charity,Visual,Emotional trustworthy impactful mission-focused,Warm emotional colors,Hope action colors,Friendly approachable fonts,Emotional subtle animations,Nonprofits charities causes,Good accessible important,Critical inclusive accessible,Charity organization sites
40,Music Audio,Visual,Dynamic rhythmic visual audio synergy immersive,Dark mode vibrant accents,Genre-specific colors,Bold modern fonts,Rhythm audio visualizers,Music streaming artist sites,Good audio APIs needed,Good audio accessibility,Spotify artist pages
41,Sports Fitness,Visual,Energetic dynamic motivational achievement,Bold energetic colors,Team sport colors,Bold condensed fonts,Dynamic energetic motion,Sports fitness wellness,Good performance matters,Good inclusive fitness,Nike Under Armour
42,News Media,Visual,Informative urgent trustworthy up-to-date scannable,High contrast readable,Breaking news red alerts,News serif readable fonts,Minimal live updates,News publications media,Excellent reading critical,Excellent news accessibility,News publication sites
43,Portfolio Creative,Visual,Showcase personal expressive unique memorable,Personal expression varied,Work-dominant colors,Expressive personal fonts,Creative unique effects,Designer developer portfolios,Varied by implementation,Varies ensure content accessible,Creative portfolios
44,Kids Children,Visual,Fun playful safe colorful educational,Bright primary pastels,Rainbow variety,Rounded friendly fonts,Fun engaging animations,Kids apps educational games,Good simple shapes,Critical safety accessibility,Kids educational sites
45,Government Official,Visual,Accessible trustworthy official clear compliant,Patriotic or neutral,Official accent colors,Clear official fonts,Minimal functional,Government official sites,Excellent compliance required,Critical ADA 508 compliance,Government portals
46,Accessibility First,Visual,Inclusive WCAG compliant high contrast clear,High contrast options,Sufficient contrast ratios,Readable scalable fonts,Reduced motion options,Any site requiring compliance,Excellent by design,Excellent primary goal,Best practice sites
47,High Contrast,Theme,Maximum contrast stark bold reduced eye strain,Pure black pure white,Minimal accent if any,Bold clear fonts,Minimal or none,Accessibility low vision modes,Excellent simple,Excellent by design,High contrast modes
48,Pastel Soft,Visual,Gentle soothing approachable calming friendly,Soft pastels muted tones,Desaturated accents,Soft rounded fonts,Gentle subtle animations,Wellness lifestyle soft brands,Good simple colors,Check contrast pastels can be low,Soft brand sites
49,Monochromatic,Visual,Single color sophisticated unified controlled,Single hue variations,Tints shades of one color,Clean simple fonts,Subtle same-color,Focused sophisticated designs,Excellent single color,Good with proper value range,Focused brand sites
50,Split Complementary,Visual,Vibrant balanced dynamic visual interest,Main color two adjacents,Complementary accents,Modern clean fonts,Color transitions,Dynamic balanced designs,Good color management,Good proper color balance,Vibrant sites
51,Analogous Harmony,Visual,Harmonious cohesive serene flowing natural,Adjacent color wheel colors,Same family variations,Harmonious fonts,Smooth flowing transitions,Cohesive natural designs,Good simple colors,Good natural harmony,Cohesive brand sites
52,Triadic Bold,Visual,Bold vibrant balanced dynamic energetic,Three equal distant colors,Balance all three,Bold modern fonts,Dynamic colorful effects,Bold dynamic brands,Good color balance needed,Check contrast bright colors,Energetic brand sites
53,Warm Dominant,Visual,Welcoming energetic passionate inviting cozy,Reds oranges yellows,Warm neutrals,Friendly warm fonts,Warm inviting effects,Food hospitality passion brands,Good simple colors,Good warm comfortable,Welcoming sites
54,Cool Dominant,Visual,Calm professional trustworthy serene reliable,Blues greens purples,Cool neutrals,Professional clean fonts,Calm subtle effects,Corporate tech healthcare,Good simple colors,Good calm professional,Professional sites
55,Neon Vibrant,Visual,Bold attention-grabbing nightlife energetic electric,Neon bright fluorescent,Dark backgrounds,Bold display fonts,Glowing pulsing effects,Entertainment nightlife gaming,Good may need fallbacks,Check contrast can be challenging,Entertainment sites
56,Earth Natural,Visual,Grounded organic sustainable authentic natural,Browns greens earth tones,Natural material colors,Organic humanist fonts,Subtle natural effects,Eco organic nature brands,Excellent simple colors,Excellent natural readable,Sustainable brand sites
57,Metallic Premium,Visual,Luxurious sophisticated premium exclusive rich,Gold silver bronze copper,Dark rich backgrounds,Elegant premium fonts,Subtle shimmer effects,Luxury premium exclusive brands,Good gradient metallics,Good ensure readability,Luxury brand sites
58,Duotone,Visual,Bold modern impactful limited palette cohesive,Two contrasting colors,Variations of the two,Bold modern fonts,Color shift effects,Modern editorial creative,Good simple technique,Good with proper selection,Spotify Wrapped style
