No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Views,Keep views focused and small,Each view should have a single responsibility for better readability and reusability,Extract complex views into smaller subviews with clear purposes,Create views with hundreds of lines of code,"struct TraderCard: View { let trader: Trader; var body: some View { VStack { AvatarView(url: trader.avatar); StatsView(stats: trader.stats) } } }","struct ContentView: View { var body: some View { /* 500 lines */ } }",warning,https://developer.apple.com/documentation/swiftui/view
2,Views,Use ViewBuilder for conditional content,ViewBuilder allows returning different view types based on conditions,Use @ViewBuilder for methods that return conditional views,Force type erasure with AnyView for conditionals,"@ViewBuilder func content() -> some View { if isLoggedIn { HomeView() } else { LoginView() } }","func content() -> AnyView { if isLoggedIn { return AnyView(HomeView()) } else { return AnyView(LoginView()) } }",warning,https://developer.apple.com/documentation/swiftui/viewbuilder
3,Views,Prefer composition over inheritance,Compose views by combining smaller views rather than creating deep hierarchies,Build complex UIs by composing simple reusable views,Create complex view inheritance chains,"struct PrimaryButton: View { var body: some View { Button(action: action) { Text(title) }.buttonStyle(.borderedProminent) } }","// Trying to subclass Button",info,https://developer.apple.com/documentation/swiftui/view-composition
4,Views,Use custom view modifiers for reusable styling,Custom ViewModifiers encapsulate common styling patterns for reuse,Create custom modifiers for styles used in multiple places,Duplicate styling code across views,"struct CardStyle: ViewModifier { func body(content: Content) -> some View { content.padding().background(Color.white).cornerRadius(12).shadow(radius: 4) } } view.modifier(CardStyle())","VStack { ... }.padding().background(Color.white).cornerRadius(12).shadow(radius: 4) // Repeated everywhere",warning,https://developer.apple.com/documentation/swiftui/viewmodifier
5,Views,Leverage SwiftUI view lifecycle,Use onAppear onDisappear and task for view lifecycle management,Perform side effects in lifecycle methods not in body,Put side effects in the body property,"struct TraderView: View { var body: some View { List(traders) { ... }.onAppear { loadTraders() }.task { await fetchData() } } }","var body: some View { let _ = loadData(); List { ... } }",error,https://developer.apple.com/documentation/swiftui/view/onappear(perform:)
6,State,Use @State for view-local state,@State is for simple value types owned by a single view,Use @State for private view-internal state like toggles or text input,Use @State for shared state or complex objects,"struct ToggleView: View { @State private var isOn = false; var body: some View { Toggle(isOn: $isOn) { Text('Setting') } } }","struct ToggleView: View { @State var sharedData = ComplexObject() }",error,https://developer.apple.com/documentation/swiftui/state
7,State,Use @Binding for two-way data flow,@Binding creates a reference to state owned by a parent view,Pass bindings to child views that need to modify parent state,Pass values and callbacks instead of bindings when binding is cleaner,"struct ChildView: View { @Binding var text: String; var body: some View { TextField('Enter', text: $text) } }","struct ChildView: View { var text: String; var onTextChange: (String) -> Void }",warning,https://developer.apple.com/documentation/swiftui/binding
8,State,Mark @State properties as private,@State should be private as it represents view-internal state,Always use private with @State to indicate view ownership,Make @State properties internal or public,"@State private var count = 0","@State var count = 0 // Can be set externally",warning,https://developer.apple.com/documentation/swiftui/state
9,State,Minimize @State usage at leaf views,Leaf views should receive data via parameters not manage their own state,Keep state at the appropriate level and pass values to children,Give every view its own @State that could be derived,"struct TraderRow: View { let trader: Trader; var body: some View { Text(trader.name) } }","struct TraderRow: View { @State var traderName: String; init(trader: Trader) { _traderName = State(initialValue: trader.name) } }",warning,https://developer.apple.com/documentation/swiftui/state
10,State,Use @StateObject for reference type ownership,@StateObject creates and owns an ObservableObject ensuring single initialization,Use @StateObject when a view creates and owns an ObservableObject,Use @ObservedObject for objects the view creates,"struct ParentView: View { @StateObject private var viewModel = TraderViewModel(); var body: some View { ChildView(viewModel: viewModel) } }","struct ParentView: View { @ObservedObject var viewModel = TraderViewModel() // Recreated on each render }",error,https://developer.apple.com/documentation/swiftui/stateobject
