No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Composition,Use Composition API for new components,Composition API provides better TypeScript support and code organization,Use setup script for all new components,Use Options API for complex components,"<script setup>const count = ref(0)</script>","export default { data() { return { count: 0 } } }",medium,https://vuejs.org/guide/extras/composition-api-faq
2,Composition,Use script setup for cleaner syntax,Script setup reduces boilerplate and improves performance,Add setup attribute to script tag,Use setup() function with explicit returns,"<script setup>import { ref } from 'vue'</script>","<script>export default { setup() { return { } } }</script>",high,https://vuejs.org/api/sfc-script-setup
3,Composition,Organize code by feature not option,Group related code together instead of separating by type,Keep state computed and methods for feature together,Separate all refs from all computed from all functions,"const count = ref(0); const double = computed(() => count.value * 2); function increment() { count.value++ }","const count = ref(0); const name = ref(''); /* all refs then all computed then all functions */",medium,https://vuejs.org/guide/extras/composition-api-faq#more-flexible-code-organization
4,Composition,Extract reusable logic to composables,Create composable functions for shared stateful logic,Create useMouse useLocalStorage composables,Duplicate reactive logic across components,"export function useCounter() { const count = ref(0); return { count } }","// Same counter logic in 5 components",high,https://vuejs.org/guide/reusability/composables
5,Reactivity,Use ref for primitive values,ref wraps primitives and provides .value access,Use ref for strings numbers booleans,Use reactive for primitive values,"const count = ref(0); count.value++","const state = reactive({ count: 0 }) // overkill for single value",low,https://vuejs.org/guide/essentials/reactivity-fundamentals#ref
6,Reactivity,Use reactive for object state,reactive provides deep reactivity without .value,Use reactive for complex nested objects,Use ref for objects requiring .value everywhere,"const state = reactive({ user: { name: '' } })","const state = ref({ user: { name: '' } }); state.value.user.name",low,https://vuejs.org/guide/essentials/reactivity-fundamentals#reactive
7,Reactivity,Avoid destructuring reactive objects,Destructuring breaks reactivity connection,Use toRefs when destructuring is needed,Destructure reactive objects directly,"const { count } = toRefs(state)","const { count } = state // loses reactivity",critical,https://vuejs.org/guide/essentials/reactivity-fundamentals#limitations-of-reactive
8,Reactivity,Use computed for derived state,computed values cache and update automatically,Use computed for filtered lists or formatted values,Use methods for derived values,"const fullName = computed(() => `${first.value} ${last.value}`)","function getFullName() { return `${first.value} ${last.value}` }",high,https://vuejs.org/guide/essentials/computed
9,Reactivity,Use shallowRef for large objects,shallowRef avoids deep reactivity overhead,Use shallowRef for large datasets updated wholesale,Use ref/reactive for large objects with deep tracking,"const items = shallowRef(largeArray)","const items = ref(largeArray) // tracks every nested change",medium,https://vuejs.org/api/reactivity-advanced#shallowref
10,Props,Define props with TypeScript,Use defineProps with type annotation for type safety,Use generic defineProps<T>() syntax,Use runtime props without types,"defineProps<{ title: string; count?: number }>()","defineProps(['title', 'count'])",high,https://vuejs.org/guide/typescript/composition-api#typing-component-props
11,Props,Set default values correctly,Use withDefaults for complex default values,Use withDefaults helper for object/array defaults,Set defaults inline for objects,"withDefaults(defineProps<Props>(), { items: () => [] })","defineProps<{ items: string[] }>() // no default",medium,https://vuejs.org/guide/typescript/composition-api#default-props-values
12,Props,Validate props appropriately,Use validators for runtime prop validation,Add validator function for complex requirements,Skip validation for user-facing props,"defineProps({ status: { type: String, validator: (v) => ['active', 'inactive'].includes(v) } })","defineProps({ status: String }) // accepts any string",medium,https://vuejs.org/guide/components/props#prop-validation
13,Props,Use readonly props,Never mutate props directly in child components,Emit events to update parent state,Mutate props causing unexpected behavior,"emit('update:count', newValue)","props.count++ // mutating prop",critical,https://vuejs.org/guide/components/props#one-way-data-flow
14,Emits,Define emits explicitly,Declare emitted events for documentation and validation,Use defineEmits with type annotations,Emit events without declaration,"const emit = defineEmits<{ (e: 'update', id: number): void }>()","emit('update', id) // undeclared emit",high,https://vuejs.org/guide/typescript/composition-api#typing-component-emits
15,Emits,Use v-model for two-way binding,v-model simplifies parent-child state sync,Use v-model with update:modelValue emit,Create custom two-way binding manually,"<Input v-model='name' />; emit('update:modelValue', value)","<Input :value='name' @input='name = $event' />",medium,https://vuejs.org/guide/components/v-model
16,Emits,Name events clearly,Use descriptive event names following conventions,Use verb:noun pattern like update:value submit:form,Use generic names like change or event,"emit('submit:form', data)","emit('change', data) // unclear what changed",low,https://vuejs.org/guide/components/events#event-arguments
17,Lifecycle,Use onMounted for DOM access,Access DOM elements after component mounts,Use onMounted for DOM measurements and third-party libraries,Access DOM in setup before mount,"onMounted(() => { ref.value.focus() })","// In setup: ref.value.focus() // ref is null",high,https://vuejs.org/guide/essentials/lifecycle#lifecycle-diagram
18,Lifecycle,Clean up in onUnmounted,Remove event listeners and cancel subscriptions,Return cleanup in onMounted or use onUnmounted,Leave subscriptions and listeners active,"onMounted(() => { window.addEventListener('resize', handler); onUnmounted(() => window.removeEventListener('resize', handler)) })","onMounted(() => { window.addEventListener('resize', handler) }) // memory leak",critical,https://vuejs.org/api/composition-api-lifecycle#onunmounted
19,Lifecycle,Use watchEffect for immediate effects,watchEffect runs immediately and tracks dependencies automatically,Use watchEffect for effects that should run immediately,Use watch with immediate: true,"watchEffect(() => { console.log(count.value) })","watch(count, (v) => console.log(v), { immediate: true })",low,https://vuejs.org/guide/essentials/watchers#watcheffect
20,Lifecycle,Use watch for specific dependencies,watch is explicit about what triggers the effect,Use watch when you need old and new values,Use watchEffect when you need specific triggers,"watch(count, (newVal, oldVal) => { })","watchEffect(() => { /* but I only care about count */ })",medium,https://vuejs.org/guide/essentials/watchers#watch-vs-watcheffect
21,Components,Use single-file components,SFCs keep template script and style together,Create .vue files with all three sections,Split template script style into separate files,"<template>...</template><script setup>...</script><style scoped>...</style>","// component.js + component.html + component.css",medium,https://vuejs.org/guide/scaling-up/sfc
22,Components,Keep components focused,Each component should have single responsibility,Extract reusable parts into child components,Create large components with many responsibilities,"<UserCard /><UserActions /><UserStats />","<UserProfile> // 500 lines template",high,https://vuejs.org/guide/components/registration
23,Components,Use async components for code splitting,Load components on demand to reduce bundle size,Use defineAsyncComponent for heavy components,Import all components eagerly,"const Modal = defineAsyncComponent(() => import('./Modal.vue'))","import Modal from './Modal.vue'",medium,https://vuejs.org/guide/components/async
24,Components,Provide fallback content with slots,Use slots for flexible component composition,Define default slot content,Require slot content without fallback,"<slot>Default content</slot>","<slot></slot> // empty if no content",low,https://vuejs.org/guide/components/slots#fallback-content
25,Composables,Name composables with use prefix,Convention makes composable functions identifiable,Name all composables useXxx,Name composables without use prefix,"export function useCounter() { }","export function counter() { /* uses refs */ }",high,https://vuejs.org/guide/reusability/composables#conventions-and-best-practices
26,Composables,Return refs not reactive objects,Return refs for consistent .value usage,Return object of refs from composables,Return reactive object that loses reactivity when destructured,"return { count, increment }","return reactive({ count, increment }) // loses reactivity on destructure",high,https://vuejs.org/guide/reusability/composables#conventions-and-best-practices
27,Composables,Handle cleanup in composables,Clean up side effects when component unmounts,Use onUnmounted inside composables for cleanup,Leave cleanup to consuming components,"export function useMouse() { onMounted(...); onUnmounted(...) }","// Consumer must remember to cleanup",medium,https://vuejs.org/guide/reusability/composables#side-effects
28,Composables,Accept refs as arguments,Make composables flexible by accepting refs or values,Use MaybeRef type and unref helper,Only accept plain values,"function useFeature(maybeRef: MaybeRef<string>) { const value = unref(maybeRef) }","function useFeature(value: string) { }",medium,https://vuejs.org/guide/reusability/composables#accepting-reactive-state
