No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Routing,Use file-based routing,Nuxt automatically generates routes based on the file structure in the pages/ directory,Create pages in the pages/ directory with proper naming,Manually configure routes in a separate config file,"// pages/users/[id].vue
<template>
  <div>User {{ $route.params.id }}</div>
</template>","// Wrong: manual route config
export default {
  routes: [{ path: '/users/:id' }]
}",error,https://nuxt.com/docs/getting-started/routing
2,Routing,Use NuxtLink for navigation,NuxtLink provides optimized client-side navigation with prefetching,Use NuxtLink component for internal links,Use native anchor tags for internal navigation,"<NuxtLink to=""/about"">About</NuxtLink>","<a href=""/about"">About</a>",error,https://nuxt.com/docs/api/components/nuxt-link
3,Routing,Implement catch-all routes,Use [...slug].vue for dynamic nested routes that can match multiple path segments,Create catch-all routes for dynamic content like CMS pages,Create individual pages for each possible path,"// pages/docs/[...slug].vue
const route = useRoute()
const slug = route.params.slug","// Creating hundreds of static pages
// pages/docs/intro.vue
// pages/docs/guide.vue",warning,https://nuxt.com/docs/guide/directory-structure/pages
4,Routing,Use route middleware,Middleware allows you to run code before navigating to a route for auth guards and redirects,Define middleware in middleware/ directory,Put navigation guards directly in page components,"// middleware/auth.ts
export default defineNuxtRouteMiddleware((to) => {
  if (!useAuth().isLoggedIn) {
    return navigateTo('/login')
  }
})","// pages/dashboard.vue
onMounted(() => {
  if (!isLoggedIn) redirect('/login')
})",error,https://nuxt.com/docs/guide/directory-structure/middleware
5,Routing,Define page metadata,Use definePageMeta to set page-specific configuration like layout and middleware,Use definePageMeta in script setup,Set meta in component options API,"<script setup>
definePageMeta({
  layout: 'admin',
  middleware: 'auth'
})
</script>","export default {
  layout: 'admin',
  middleware: 'auth'
}",warning,https://nuxt.com/docs/api/utils/define-page-meta
6,Rendering,Choose appropriate rendering mode,Select SSR/SSG/SPA based on content type and SEO requirements,Use SSR for dynamic SEO content and SSG for static content,Use client-only rendering for SEO-critical pages,"// nuxt.config.ts
export default defineNuxtConfig({
  ssr: true,
  routeRules: {
    '/blog/**': { prerender: true }
  }
})","export default defineNuxtConfig({
  ssr: false // for SEO pages
})",error,https://nuxt.com/docs/guide/concepts/rendering
7,Rendering,Use hybrid rendering,Configure different rendering strategies per route using routeRules,Define routeRules for optimal performance per page type,Apply same rendering mode to all routes,"export default defineNuxtConfig({
  routeRules: {
    '/': { prerender: true },
    '/api/**': { cors: true },
    '/admin/**': { ssr: false }
  }
})","export default defineNuxtConfig({
  ssr: true // same for all
})",warning,https://nuxt.com/docs/guide/concepts/rendering#hybrid-rendering
8,Rendering,Implement ISR correctly,Use Incremental Static Regeneration for content that changes periodically,Set appropriate swr or isr values in routeRules,Rebuild entire site for minor content changes,"routeRules: {
  '/products/**': {
    isr: 3600 // revalidate every hour
  }
}","// Triggering full rebuild for
// each product update",warning,https://nuxt.com/docs/guide/concepts/rendering#incremental-static-regeneration
9,Rendering,Handle client-only components,Use ClientOnly component for browser-specific functionality,Wrap client-only code in ClientOnly component,Import browser-only libraries at top level,"<ClientOnly>
  <BrowserOnlyChart :data=""data"" />
  <template #fallback>
    <ChartSkeleton />
  </template>
</ClientOnly>","<template>
  <BrowserOnlyChart />
</template>
// Causes SSR errors",error,https://nuxt.com/docs/api/components/client-only
10,Data Fetching,Use useFetch for data fetching,useFetch is the recommended way to fetch data with SSR support and caching,Use useFetch or useAsyncData for API calls,Use raw fetch or axios without composables,"const { data, pending, error } = await useFetch('/api/users')","// No SSR support
const data = ref(null)
onMounted(async () => {
  data.value = await fetch('/api/users')
})",error,https://nuxt.com/docs/api/composables/use-fetch
11,Data Fetching,Provide unique keys for data fetching,Ensure each useFetch/useAsyncData call has a unique key for proper caching,Provide explicit unique keys for each data fetch,Rely on auto-generated keys that may conflict,"const { data } = await useFetch('/api/users', {
  key: 'users-list'
})","const { data } = await useFetch('/api/users')
// Another component
const { data } = await useFetch('/api/users')
// Key collision",warning,https://nuxt.com/docs/api/composables/use-fetch#params
12,Data Fetching,Handle loading and error states,Always handle pending and error states from data fetching composables,Display loading indicators and error messages,Assume data is always available,"<template>
  <div v-if=""pending"">Loading...</div>
  <div v-else-if=""error"">{{ error.message }}</div>
  <div v-else>{{ data }}</div>
</template>","<template>
  <div>{{ data.name }}</div>
</template>
// Crashes when data is null",error,https://nuxt.com/docs/getting-started/data-fetching#handling-errors
13,Data Fetching,Use lazy fetching when appropriate,Use lazy option to defer data fetching until needed,Use lazy: true for below-fold content,Fetch all data eagerly on page load,"const { data, pending } = await useFetch('/api/comments', {
  lazy: true
})","// Fetching all data upfront
const { data: users } = await useFetch('/api/users')
const { data: posts } = await useFetch('/api/posts')
const { data: comments } = await useFetch('/api/comments')",warning,https://nuxt.com/docs/api/composables/use-fetch#params
14,Data Fetching,Implement proper cache strategies,Configure cache behavior for optimal performance and freshness,Set getCachedData for custom caching logic,Disable caching entirely,"const { data } = await useFetch('/api/data', {
  getCachedData(key) {
    return nuxtApp.payload.data[key] || nuxtApp.static.data[key]
  }
})","const { data } = await useFetch('/api/data', {
  cache: false // Always refetch
})",warning,https://nuxt.com/docs/api/composables/use-fetch#caching
15,Data Fetching,Transform data at fetch time,Use transform option to shape data before storing in state,Transform API responses to match component needs,Transform data in computed properties repeatedly,"const { data } = await useFetch('/api/users', {
  transform: (users) => users.map(u => ({
    id: u.id,
    fullName: `${u.first} ${u.last}`
  }))
})","const { data } = await useFetch('/api/users')
const users = computed(() =>
  data.value?.map(u => ({...}))
)",info,https://nuxt.com/docs/api/composables/use-fetch#params
16,Lifecycle,Understand Nuxt lifecycle hooks,Nuxt has specific lifecycle hooks that differ from Vue's standard hooks,Use Nuxt-specific hooks like useNuxtApp for app-level operations,Mix Nuxt and Vue lifecycle hooks incorrectly,"// plugins/my-plugin.ts
export default defineNuxtPlugin((nuxtApp) => {
  nuxtApp.hook('app:created', () => {
    console.log('App created')
  })
})","// Incorrect usage
onMounted(() => {
  // This only runs on client
  fetchServerData()
})",warning,https://nuxt.com/docs/api/advanced/hooks
17,Lifecycle,Use callOnce for one-time operations,callOnce ensures code runs only once during SSR and hydration,Use callOnce for analytics or one-time initializations,Run initialization code that executes multiple times,"await callOnce(async () => {
  await initializeAnalytics()
})","// Runs on server AND client
onMounted(() => {
  initializeAnalytics()
})",warning,https://nuxt.com/docs/api/utils/call-once
18,Lifecycle,Handle hydration properly,Ensure server and client render identical content to avoid hydration mismatches,Use consistent data between server and client,Generate different content on server vs client,"const timestamp = useState('time', () => Date.now())
// Same value on both sides","<template>
  <span>{{ new Date().toLocaleString() }}</span>
</template>
// Different on server/client",error,https://nuxt.com/docs/guide/concepts/rendering#client-side-rendering
19,Lifecycle,Use app lifecycle hooks,Register to app:created app:mounted and other app-level hooks for initialization,Use defineNuxtPlugin for app-level setup,Put global setup code in components,"export default defineNuxtPlugin({
  hooks: {
    'app:mounted'() {
      console.log('App mounted')
    }
  }
})","// App.vue
onMounted(() => {
  // Global init here - wrong place
})",info,https://nuxt.com/docs/api/advanced/hooks#app-hooks-runtime
20,Server,Create API routes in server/api,Nuxt server routes provide a built-in backend API layer,Create API endpoints in server/api/ directory,Create separate backend projects for simple APIs,"// server/api/users.get.ts
export default defineEventHandler(async () => {
  const users = await db.query('SELECT * FROM users')
  return users
})","// Separate Express server
app.get('/api/users', (req, res) => {
  res.json(users)
})",info,https://nuxt.com/docs/guide/directory-structure/server
21,Server,Use proper HTTP method naming,Name server routes with HTTP method suffix for clarity,Use .get.ts .post.ts etc for method-specific routes,Handle all methods in single file with conditionals,"// server/api/users.get.ts
// server/api/users.post.ts
// server/api/users/[id].delete.ts","// server/api/users.ts
export default defineEventHandler((event) => {
  if (event.method === 'GET') {...}
  if (event.method === 'POST') {...}
})",warning,https://nuxt.com/docs/guide/directory-structure/server#matching-http-method
