No,Category,Issue,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Feedback,Missing loading states,All,Users need immediate feedback when actions are processing to know the system is responsive,Show loading indicators within 100ms of user action,Leave users wondering if their click registered,"<Button loading={isLoading} disabled={isLoading}>Submit</Button>","<Button onClick={submit}>Submit</Button>",Critical
2,Feedback,No success confirmation,All,Users need confirmation that their action completed successfully to feel confident,Show clear success message or visual feedback after completing actions,Silently complete action without any acknowledgment,"toast.success('Changes saved successfully');","await saveChanges(); // no feedback",High
3,Feedback,Unclear error messages,All,Generic error messages frustrate users and prevent them from resolving issues,Provide specific actionable error messages that explain what went wrong and how to fix it,Show technical jargon or generic error occurred messages,"<Error>Email is already registered. Try signing in instead.</Error>","<Error>Error code: 500</Error>",Critical
4,Feedback,No progress indication,All,Long operations without progress feedback cause users to abandon or retry,Show progress bars with percentage or step indicators for operations over 3 seconds,Show only a spinner for lengthy operations,"<Progress value={uploadProgress} label={`Uploading ${uploadProgress}%`} />","<Spinner /> // for 30 second upload",High
5,Feedback,Delayed response feedback,All,Users perceive delay over 100ms and become uncertain if under 1 second with no feedback,Provide immediate visual feedback even if data takes time to load,Wait for data before showing any response,"setOptimisticData(newData); await save(); // optimistic update","const result = await save(); setData(result);",High
6,Navigation,Unclear current location,All,Users need to know where they are in the app hierarchy to navigate confidently,Highlight current page in navigation show breadcrumbs for deep pages,Leave users guessing their current location,"<NavItem active={pathname === '/dashboard'}>Dashboard</NavItem>","<NavItem>Dashboard</NavItem>",High
7,Navigation,No back button support,Web Mobile,Breaking browser back button behavior frustrates users who rely on it,Ensure back button works correctly especially for modals and multi-step flows,Trap users in modal states or break history,"router.push('/new-page'); // proper history","window.location.replace('/new-page');",Critical
8,Navigation,Hidden primary navigation,Mobile,Important navigation hidden behind hamburger reduces discoverability and engagement,Use bottom navigation for primary actions on mobile keep top 4-5 items visible,Hide all navigation behind hamburger menu,"<BottomNav items={primaryItems} />","<HamburgerMenu items={allItems} />",High
9,Navigation,Deep nesting without shortcuts,All,Users get lost in deep hierarchies without breadcrumbs or quick navigation options,Provide breadcrumbs quick links or recent items for deeply nested content,Force users through every level to reach content,"<Breadcrumbs items={pathItems} /> <RecentlyViewed />","<BackButton /> // only option",Medium
10,Navigation,Inconsistent navigation patterns,All,Users learn navigation patterns and inconsistency forces relearning,Keep navigation position and behavior consistent across the entire app,Move navigation or change patterns between sections,"<Layout sidebar={<NavMenu />}>{children}</Layout>","// different nav in each section",High
11,Forms,No input validation feedback,All,Users need immediate feedback about input validity to correct errors efficiently,Validate on blur and show inline feedback immediately,Only validate on submit leaving users to guess issues,"<Input onBlur={validate} error={errors.email} />","<Input /> // validate all at end",High
12,Forms,Unclear required fields,All,Users waste time submitting forms only to learn about required fields,Mark required fields clearly before user attempts submission,Show required errors only after failed submission,"<Label required>Email *</Label>","<Label>Email</Label> // required but unmarked",Medium
13,Forms,No inline help,All,Complex fields without guidance cause user confusion and errors,Provide helper text tooltips or examples for non-obvious fields,Assume users understand all field requirements,"<Input helperText=""Password must be 8+ characters with a number"" />","<Input type=""password"" /> // no hints",Medium
