No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Composable,Keep composables small and focused,Each composable should have a single responsibility for better testability and reuse,Extract complex composables into smaller focused functions,Create composables with hundreds of lines,"@Composable fun TraderCard(trader: Trader) { Card { Column { AvatarImage(trader.avatar); TraderStats(trader.stats) } } }","@Composable fun MainScreen() { /* 500 lines of UI code */ }",warning,https://developer.android.com/develop/ui/compose/mental-model
2,Composable,Use meaningful composable names,Name composables descriptively using PascalCase to indicate their purpose,Name composables after their function like TraderRankingList,Use generic names like MyComposable or Screen1,"@Composable fun TraderPerformanceChart(data: PerformanceData) { ... }","@Composable fun Chart1(d: Any) { ... }",info,https://developer.android.com/develop/ui/compose/kotlin
3,Composable,Make composables stateless when possible,Stateless composables are easier to test preview and reuse,Hoist state to callers and accept state and events as parameters,Mix state management and UI in every composable,"@Composable fun TraderRow(trader: Trader, onFavorite: () -> Unit) { Row { Text(trader.name); IconButton(onClick = onFavorite) { Icon(Icons.Default.Star) } } }","@Composable fun TraderRow(traderId: String) { var trader by remember { mutableStateOf<Trader?>(null) } LaunchedEffect(traderId) { trader = api.getTrader(traderId) } }",warning,https://developer.android.com/develop/ui/compose/state#stateless-vs-stateful
4,Composable,Accept Modifier as first optional parameter,Consistently accepting Modifier allows callers to customize layout behavior,Add modifier: Modifier = Modifier as first optional parameter,Hardcode layout properties that callers might need to override,"@Composable fun TraderCard(modifier: Modifier = Modifier, trader: Trader) { Card(modifier = modifier) { ... } }","@Composable fun TraderCard(trader: Trader) { Card(modifier = Modifier.fillMaxWidth()) { ... } }",warning,https://developer.android.com/develop/ui/compose/modifiers
5,Composable,Use slot-based API for flexible composables,Slot APIs allow callers to provide custom content increasing reusability,Use composable lambdas for customizable content areas,Hardcode all content in reusable composables,"@Composable fun CardWithHeader(header: @Composable () -> Unit, content: @Composable () -> Unit) { Column { header(); content() } }","@Composable fun CardWithHeader(title: String, subtitle: String) { Column { Text(title); Text(subtitle) } }",info,https://developer.android.com/develop/ui/compose/layouts/basics#slot-based-layouts
6,State,Use remember for expensive calculations,remember caches values across recompositions preventing recalculation,Use remember for values that are expensive to compute,Recalculate expensive values on every recomposition,"val sortedTraders = remember(traders) { traders.sortedByDescending { it.roi } }","val sortedTraders = traders.sortedByDescending { it.roi } // Recalculated every recomposition",warning,https://developer.android.com/develop/ui/compose/state#state-in-composables
7,State,Use rememberSaveable for config changes,rememberSaveable preserves state across configuration changes and process death,Use rememberSaveable for user input that should survive rotation,Use remember for input state that gets lost on rotation,"var searchQuery by rememberSaveable { mutableStateOf('') }","var searchQuery by remember { mutableStateOf('') } // Lost on rotation",warning,https://developer.android.com/develop/ui/compose/state#restore-ui-state
8,State,Hoist state appropriately,Place state at the lowest common ancestor that needs it,Hoist state to the level where it needs to be shared,Keep all state in the root composable,"@Composable fun ParentScreen() { var query by remember { mutableStateOf('') }; SearchBar(query = query, onQueryChange = { query = it }) }","@Composable fun SearchBar() { var query by remember { mutableStateOf('') } /* All state internal */ }",warning,https://developer.android.com/develop/ui/compose/state#state-hoisting
9,State,Use derivedStateOf for derived values,derivedStateOf prevents unnecessary recompositions when source state changes frequently,Use derivedStateOf when computing values from other state that changes often,Compute derived values directly causing unnecessary recompositions,"val highPerformers by remember { derivedStateOf { traders.filter { it.roi > 100 } } }","val highPerformers = traders.filter { it.roi > 100 } // Recomputes on any recomposition",warning,https://developer.android.com/develop/ui/compose/side-effects#derivedstateof
10,State,Use snapshotFlow for state-to-flow conversion,snapshotFlow converts Compose state to Flow for use with coroutines,Use snapshotFlow when you need to react to state changes in coroutines,Create manual state observation patterns,"LaunchedEffect(Unit) { snapshotFlow { listState.firstVisibleItemIndex }.collect { index -> analytics.logScroll(index) } }","// Manual state checking in a loop",info,https://developer.android.com/develop/ui/compose/side-effects#snapshotflow
11,SideEffect,Use LaunchedEffect for coroutines,LaunchedEffect runs suspend functions tied to composable lifecycle,Use LaunchedEffect for one-time or key-based coroutine side effects,Launch coroutines without lifecycle management,"LaunchedEffect(traderId) { trader = repository.getTrader(traderId) }","// Launching coroutine without effect scope var trader by remember { mutableStateOf<Trader?>(null) } // Missing LaunchedEffect",error,https://developer.android.com/develop/ui/compose/side-effects#launchedeffect
12,SideEffect,Use DisposableEffect for cleanup,DisposableEffect handles setup and cleanup for effects that need disposal,Use DisposableEffect when effect needs cleanup on disposal or key change,Forget to clean up observers or listeners,"DisposableEffect(lifecycleOwner) { val observer = LifecycleEventObserver { _, event -> ... }; lifecycleOwner.lifecycle.addObserver(observer); onDispose { lifecycleOwner.lifecycle.removeObserver(observer) } }","// Adding observer without removal",error,https://developer.android.com/develop/ui/compose/side-effects#disposableeffect
13,SideEffect,Use SideEffect for non-suspend effects,SideEffect runs after every successful recomposition for non-suspend side effects,Use SideEffect for logging or analytics that should run on each recomposition,Put non-compose code directly in composable body without SideEffect,"SideEffect { analytics.logScreenView(screenName) }","@Composable fun Screen() { analytics.logScreenView(screenName) /* Not in SideEffect */ }",warning,https://developer.android.com/develop/ui/compose/side-effects#sideeffect-publish
14,SideEffect,Use produceState for async-to-state,produceState converts async data into Compose State cleanly,Use produceState when loading data that becomes State,Manually manage loading state and data fetching,"val traderState by produceState<UiState>(Loading, traderId) { value = try { Success(repo.getTrader(traderId)) } catch (e: Exception) { Error(e) } }","var isLoading by remember { mutableStateOf(true) }; var data by remember { mutableStateOf<Data?>(null) }; LaunchedEffect(key) { isLoading = true; data = fetch(); isLoading = false }",info,https://developer.android.com/develop/ui/compose/side-effects#producestate
15,SideEffect,Specify proper keys for effects,Effect keys control when effects restart ensure they capture all dependencies,Include all values that should trigger effect restart in the key,Use Unit or missing keys when effect should restart on value changes,"LaunchedEffect(traderId, sortOrder) { traders = repository.getTraders(traderId, sortOrder) }","LaunchedEffect(Unit) { traders = repository.getTraders(traderId, sortOrder) } // Won't restart when params change",error,https://developer.android.com/develop/ui/compose/side-effects#launchedeffect
16,Architecture,Use unidirectional data flow,State flows down from parent to child and events flow up,Pass state down and events up through the composable hierarchy,Allow children to directly modify parent state,"@Composable fun TraderList(traders: List<Trader>, onTraderClick: (Trader) -> Unit) { LazyColumn { items(traders) { trader -> TraderRow(trader, onClick = { onTraderClick(trader) }) } } }","// Child composables directly modifying ViewModel state",warning,https://developer.android.com/develop/ui/compose/architecture
17,Architecture,Use ViewModel for screen state,ViewModel survives configuration changes and separates business logic from UI,Use ViewModel for screen-level state management,Put business logic directly in composables,"@HiltViewModel class TraderListViewModel @Inject constructor(private val repo: TraderRepository) : ViewModel() { val traders: StateFlow<List<Trader>> = repo.getTraders().stateIn(viewModelScope, SharingStarted.WhileSubscribed(5000), emptyList()) }","@Composable fun TraderList() { var traders by remember { mutableStateOf(emptyList<Trader>()) }; LaunchedEffect(Unit) { traders = api.getTraders() } }",warning,https://developer.android.com/topic/libraries/architecture/viewmodel
18,Architecture,Use StateFlow or State for UI state,Expose UI state from ViewModel using StateFlow for reactive updates,Use StateFlow with collectAsStateWithLifecycle for lifecycle-aware collection,Use LiveData in Compose without proper lifecycle handling,"val traders by viewModel.traders.collectAsStateWithLifecycle()","val traders by viewModel.tradersLiveData.observeAsState() // Less lifecycle-aware",warning,https://developer.android.com/develop/ui/compose/state#viewmodel-state
19,Architecture,Define clear UI state classes,Create sealed classes or data classes to represent all UI states,Define explicit states for loading error success and empty,Use multiple boolean flags for UI state,"sealed interface TraderListUiState { data object Loading : TraderListUiState; data class Success(val traders: List<Trader>) : TraderListUiState; data class Error(val message: String) : TraderListUiState }","var isLoading by mutableStateOf(false); var error by mutableStateOf<String?>(null); var traders by mutableStateOf(emptyList<Trader>())",warning,https://developer.android.com/topic/architecture/ui-layer/udf
20,Lifecycle,Use collectAsStateWithLifecycle,collectAsStateWithLifecycle stops collection when lifecycle is below threshold,Use collectAsStateWithLifecycle for lifecycle-aware Flow collection,Use collectAsState which keeps collecting when in background,"val traders by viewModel.traders.collectAsStateWithLifecycle()","val traders by viewModel.traders.collectAsState() // Collects in background",warning,https://developer.android.com/develop/ui/compose/state#viewmodel-state
21,Lifecycle,Handle configuration changes properly,Ensure state survives configuration changes like rotation,Use ViewModel and rememberSaveable for state that should survive rotation,Store important state only in remember,"// ViewModel state survives config changes @HiltViewModel class MyViewModel : ViewModel() { ... }","// State in remember lost on rotation var formData by remember { mutableStateOf(FormData()) }",warning,https://developer.android.com/develop/ui/compose/state#restore-ui-state
22,Lifecycle,Respect composable lifecycle,Understand that composables can be recomposed at any time,Design composables to handle recomposition gracefully,Rely on composable body running only once,"LaunchedEffect(key) { /* Runs on first composition and when key changes */ }","@Composable fun Screen() { loadData() /* Runs on every recomposition */ }",error,https://developer.android.com/develop/ui/compose/lifecycle
23,Navigation,Use Navigation Compose library,Navigation Compose provides type-safe navigation with proper back stack handling,Use NavController and NavHost for navigation between screens,Manually manage navigation state with remember,"NavHost(navController, startDestination = 'traders') { composable('traders') { TraderListScreen() }; composable('trader/{id}') { TraderDetailScreen(it.arguments?.getString('id')) } }","var currentScreen by remember { mutableStateOf('home') } when (currentScreen) { 'home' -> HomeScreen() }",warning,https://developer.android.com/develop/ui/compose/navigation
24,Navigation,Use typed navigation arguments,Define type-safe routes and arguments for navigation,Use sealed classes or type-safe builders for routes,Pass stringly-typed routes throughout the app,"sealed class Screen(val route: String) { data object Traders : Screen('traders'); data class TraderDetail(val id: String) : Screen('trader/$id') }","navController.navigate('trader/123') // Stringly typed everywhere",info,https://developer.android.com/develop/ui/compose/navigation#nav-with-args
25,Navigation,Handle deep links properly,Configure deep links for external navigation into your app,Define deep link patterns in your navigation graph,Ignore deep linking requirements,"composable('trader/{id}', deepLinks = listOf(navDeepLink { uriPattern = 'app://trader/{id}' })) { TraderDetailScreen() }","// No deep link configuration",info,https://developer.android.com/develop/ui/compose/navigation#deeplinks
26,Performance,Use key for reorderable lists,Providing keys helps Compose track items correctly during reordering,Use key composable for items in reorderable or changing lists,Let Compose use positional identity for dynamic lists,"LazyColumn { items(traders, key = { it.id }) { trader -> TraderRow(trader) } }","LazyColumn { items(traders) { trader -> TraderRow(trader) } } // No keys for dynamic list",warning,https://developer.android.com/develop/ui/compose/lists#item-keys
27,Performance,Defer state reads when possible,Read state as late as possible to minimize recomposition scope,Use lambda parameters to defer state reads to composition,"LazyColumn { items(100) { index -> val color by remember { derivedStateOf { if (index == selectedIndex.value) Color.Blue else Color.Gray } }; Item(color = color) } }","val selected = selectedIndex.value; LazyColumn { items(100) { index -> Item(color = if (index == selected) Color.Blue else Color.Gray) } }",warning,https://developer.android.com/develop/ui/compose/performance#defer-reads
28,Performance,Use Stability for better recomposition,Stable types allow Compose to skip recomposition when inputs unchanged,Use stable or immutable types for composable parameters,Pass unstable types that cause unnecessary recompositions,"@Immutable data class Trader(val id: String, val name: String, val roi: Double)","data class Trader(val id: String, val name: String, var roi: Double) // Mutable property makes unstable",warning,https://developer.android.com/develop/ui/compose/performance#stability
29,Performance,Use LazyColumn and LazyRow for lists,Lazy layouts only compose visible items providing better performance,Use Lazy layouts for lists with many items,Use Column with forEach for long lists,"LazyColumn { items(traders) { trader -> TraderRow(trader) } }","Column { traders.forEach { trader -> TraderRow(trader) } }",error,https://developer.android.com/develop/ui/compose/lists
30,Performance,Profile with Layout Inspector,Use Layout Inspector to identify recomposition issues,Profile your composables to find unnecessary recompositions,Guess at performance issues without measurement,"// Use Android Studio Layout Inspector with recomposition counts enabled","// Adding remember everywhere without profiling",info,https://developer.android.com/studio/debug/layout-inspector
31,Theming,Use MaterialTheme consistently,MaterialTheme provides consistent theming across your app,Access colors typography and shapes through MaterialTheme,Hardcode colors and styles throughout composables,"Text(text, color = MaterialTheme.colorScheme.primary, style = MaterialTheme.typography.bodyLarge)","Text(text, color = Color(0xFF1976D2), fontSize = 16.sp)",warning,https://developer.android.com/develop/ui/compose/designsystems/material3
32,Theming,Support dark theme,Implement proper dark theme support for better accessibility,Define both light and dark color schemes,Ignore dark theme or hardcode light colors,"MaterialTheme(colorScheme = if (isSystemInDarkTheme()) darkColorScheme() else lightColorScheme()) { ... }","MaterialTheme(colorScheme = lightColorScheme()) // No dark theme support",warning,https://developer.android.com/develop/ui/compose/designsystems/material3#dark-theme
33,Theming,Create semantic color names,Define colors by purpose not appearance for maintainable theming,Use semantic names like surfaceContainer or primaryContainer,Use literal color names like blue400 or darkGray,"val backgroundColor = MaterialTheme.colorScheme.surface","val backgroundColor = Color(0xFFE0E0E0) // Magic color",info,https://developer.android.com/develop/ui/compose/designsystems/material3#color-scheme
34,Layout,Use proper layout composables,Choose the right layout composable for your needs,Use Column Row Box for different layout patterns,Nest layouts unnecessarily or use wrong layout type,"Row(horizontalArrangement = Arrangement.SpaceBetween) { Text('Left'); Text('Right') }","Column { Row { Spacer(Modifier.weight(1f)); Text('Right') } } // Overcomplicated",warning,https://developer.android.com/develop/ui/compose/layouts/basics
35,Layout,Use Modifier.weight for flex layouts,Weight distributes available space proportionally among siblings,Use weight modifier for flexible space distribution,Use fixed sizes when proportional sizing is needed,"Row { Text('Fixed'); Spacer(Modifier.weight(1f)); Button(onClick = {}) { Text('Action') } }","Row { Text('Fixed'); Spacer(Modifier.width(200.dp)); Button(onClick = {}) { Text('Action') } }",warning,https://developer.android.com/develop/ui/compose/modifiers#scope-safety
36,Layout,Handle window insets properly,Account for system UI like status bar and navigation bar,Use WindowInsets modifiers for proper inset handling,Ignore insets causing content to be hidden,"Scaffold(modifier = Modifier.windowInsetsPadding(WindowInsets.systemBars)) { ... }","Scaffold { ... } // Content may be behind system bars",warning,https://developer.android.com/develop/ui/compose/layouts/insets
37,Layout,Use ConstraintLayout for complex layouts,ConstraintLayout handles complex positioning without deep nesting,Use ConstraintLayout for layouts with many interdependent positions,Create deeply nested Column and Row for complex layouts,"ConstraintLayout { val (title, subtitle, icon) = createRefs(); Text(Modifier.constrainAs(title) { top.linkTo(parent.top); start.linkTo(icon.end) }) }","Column { Row { Column { Row { /* Deep nesting */ } } } }",info,https://developer.android.com/develop/ui/compose/layouts/constraintlayout
38,Testing,Write composable tests,Test composables to catch regressions and verify behavior,Write UI tests for important composable functionality,Skip testing entirely,"@Test fun traderCard_showsTraderName() { composeTestRule.setContent { TraderCard(testTrader) }; composeTestRule.onNodeWithText('TestTrader').assertIsDisplayed() }","// No compose tests",warning,https://developer.android.com/develop/ui/compose/testing
