No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Installation,Install Nuxt UI properly,Add @nuxt/ui module with correct configuration,Use the official @nuxt/ui module,Install individual component packages,"// nuxt.config.ts
export default defineNuxtConfig({
  modules: ['@nuxt/ui']
})","npm install @nuxtjs/tailwindcss
// Installing separately",error,https://nuxt.com/modules/ui
2,Installation,Configure Tailwind integration,Nuxt UI includes Tailwind CSS - avoid duplicate config,Let Nuxt UI manage Tailwind configuration,Create separate tailwind.config.js,"// Nuxt UI handles Tailwind
// No extra config needed","// tailwind.config.js
module.exports = {
  // Duplicate/conflicting config
}",warning,https://ui.nuxt.com/getting-started/installation
3,Installation,Set up color configuration,Configure primary and gray colors in app.config.ts,Define colors in app.config.ts,Hardcode colors in components,"// app.config.ts
export default defineAppConfig({
  ui: {
    primary: 'green',
    gray: 'slate'
  }
})","<UButton color=""#10b981"">
  <!-- Hardcoded color -->
</UButton>",warning,https://ui.nuxt.com/getting-started/theming
4,Components,Use UButton for actions,UButton provides consistent styling and loading states,Use UButton with appropriate variants,Create custom button components,"<UButton
  label=""Save""
  icon=""i-heroicons-check""
  :loading=""saving""
  @click=""save""
/>","<button class=""bg-primary..."" @click=""save"">
  <span v-if=""saving"">...</span>
  Save
</button>",warning,https://ui.nuxt.com/components/button
5,Components,Apply correct button variants,Use semantic variants for different actions,Match variant to action importance,Use same variant for all buttons,"<UButton variant=""solid"" label=""Primary"" />
<UButton variant=""outline"" label=""Secondary"" />
<UButton variant=""ghost"" label=""Tertiary"" />
<UButton variant=""link"" label=""Link"" />","<UButton label=""Save"" />
<UButton label=""Cancel"" />
<UButton label=""Delete"" />
// All look the same",warning,https://ui.nuxt.com/components/button#variant
6,Components,Use UInput for form fields,UInput provides validation integration and consistent styling,Use UInput with proper type and validation,Use native input elements directly,"<UInput
  v-model=""email""
  type=""email""
  placeholder=""Enter email""
  :error=""errors.email""
  icon=""i-heroicons-envelope""
/>","<input
  v-model=""email""
  type=""email""
  class=""border rounded...""
/>",warning,https://ui.nuxt.com/components/input
7,Components,Implement UCard for content containers,UCard provides consistent card styling with header body and footer,Use UCard slots for structured content,Create custom card divs,"<UCard>
  <template #header>
    <h3>Title</h3>
  </template>
  <p>Content here</p>
  <template #footer>
    <UButton>Action</UButton>
  </template>
</UCard>","<div class=""rounded-lg border p-4"">
  <h3>Title</h3>
  <p>Content</p>
</div>",info,https://ui.nuxt.com/components/card
8,Icons,Use Iconify icons,Nuxt UI integrates with Iconify for thousands of icons,Use icon prop with Iconify format,Import SVG icons manually,"<UButton
  icon=""i-heroicons-home""
  label=""Home""
/>
<UIcon name=""i-lucide-settings"" />","<UButton>
  <svg>...</svg>
  Home
</UButton>",warning,https://ui.nuxt.com/getting-started/theming#icons
9,Icons,Configure icon collections,Add required icon collections in nuxt.config,Install and configure icon collections needed,Load all icon collections,"// nuxt.config.ts
export default defineNuxtConfig({
  ui: {
    icons: ['heroicons', 'lucide']
  }
})","// Loading all collections
ui: { icons: 'all' }
// Huge bundle size",warning,https://ui.nuxt.com/getting-started/installation#icons
10,Icons,Use dynamic icons properly,Handle dynamic icon names with UIcon component,Use UIcon for dynamic icon rendering,Concatenate icon classes dynamically,"<UIcon
  :name=""item.icon || 'i-heroicons-cube'""
  class=""w-5 h-5""
/>","<i :class=""`i-heroicons-${iconName}`"" />
// Won't work with purge",error,https://ui.nuxt.com/components/icon
