No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
1,Navigation,Top horizontal nav for desktop sidebar for complex apps,Minimalist Corporate Clean,Neutral with accent CTAs,Clear readable sans-serif,Subtle hover states active indicators,Use horizontal when 7 or fewer items use sidebar for deep hierarchies,Hamburger menu on desktop hiding primary navigation,High
2,Navigation,Mobile bottom navigation for primary actions,Material Design Flat,High contrast icons,Icon labels readable,Haptic feedback ripple effects,Limit to 5 items max use for most frequent actions,More than 5 items no labels too small touch targets,Critical
3,Navigation,Breadcrumbs for deep hierarchical content,Swiss International Minimalist,Muted separators active current,Small readable text,Chevron or slash separators,Use when hierarchy exceeds 3 levels show full path or truncate middle,Breadcrumbs on flat sites clickable current page,Medium
4,Navigation,Mega menu for large category navigation,Corporate Clean E-commerce,Category color coding organized,Clear hierarchy sizes,Reveal animation organized columns,Use when many categories to show use organized visual groupings,Too many items no grouping slow reveal animations,Medium
5,Navigation,Sticky header for long scrolling pages,Startup Modern Dashboard,Background blur on scroll,Compact on scroll,Smooth hide show transform,Sticky when page exceeds 2 viewports consider hiding on scroll down,Too tall sticky blocking content always visible,Medium
6,Buttons,Primary CTA prominent contrasting color,All styles platform appropriate,Brand primary vibrant,Bold readable label,Hover scale subtle shadow,One primary CTA per view use for main action user should take,Multiple primary buttons competing CTAs,Critical
7,Buttons,Secondary outlined or ghost for alternatives,Minimalist Corporate,Neutral or muted accent,Same weight as primary,Subtle hover fill,Use for secondary actions pair with primary,Secondary more prominent than primary,High
8,Buttons,Icon buttons for common recognizable actions,Material Flat Minimalist,Neutral with hover accent,None or tooltip,Ripple scale rotation,Use when icon universally understood add aria-label,Unclear icons no labels too small,High
9,Buttons,Button groups for related actions,Dashboard Corporate,Unified styling selected state,Consistent labels,Smooth selection transition,Group related binary or multiple choice actions,Unrelated actions in groups confusing groupings,Medium
10,Buttons,Loading states for async actions,All styles,Dimmed or brand color spinner,Disabled text or spinner,Spinner or progress indicator,Show loading immediately prevent double-clicks,No loading feedback blocking UI,Critical
11,Forms,Single column forms for simplicity,Minimalist Clean,Neutral backgrounds focus states,Clear labels readable inputs,Focus ring validation states,Use single column except for related short fields,Multi-column causing zig-zag reading,High
12,Forms,Inline validation with clear messages,Material Healthcare,Red errors green success,Small clear messages,Smooth reveal shake for errors,Validate on blur show success show clear error messages,Validation only on submit unclear messages,High
13,Forms,Floating labels for compact design,Material Neumorphism,Subtle label muted transitions,Small labels clear values,Float animation on focus,Use when space is limited ensure accessibility,Label disappearing entirely,Medium
14,Forms,Multi-step for complex long forms,Startup Dashboard,Progress indicator steps,Step labels progress,Step transitions progress animation,Break into logical groups max 3-5 fields per step,Too many steps unclear progress no back option,High
15,Forms,Search input with clear and icon,All styles,Subtle background focus,Placeholder example text,Clear button reveal autocomplete,Include search icon clear button when populated,No clear button no search icon,Medium
16,Cards,Content cards for browsable collections,All styles varies by content,Content-appropriate backgrounds,Clear hierarchy title body,Hover lift shadow animation,Use consistent card sizes in grids add clear clickable areas,Inconsistent sizes unclear clickable areas,High
17,Cards,Product cards with image price CTA,E-commerce Fashion,Product photography dominant,Price prominent title clear,Quick view hover states,Show key info image price name add quick actions,Too much info cluttered no clear CTA,High
18,Cards,Profile cards with avatar info actions,Social Corporate,Avatar dominant professional,Name title clear,Hover reveal actions,Show avatar name key info quick actions,Too much text no clear hierarchy,Medium
19,Cards,Stat cards for KPIs dashboards,Dashboard Data Minimalist,Data color coding semantic,Large numbers clear labels,Count up animations,Show single metric comparison delta,Too many metrics unclear labels,High
20,Cards,Interactive cards with expanding details,Material Startup,Expand indicator affordance,Summary expanded clear,Smooth expand collapse,Allow preview expand for details,Auto-expand unclear expand trigger,Medium
21,Modals,Confirmation modals for destructive actions,All styles,Warning red cautious colors,Clear action consequences,Attention animation,Require confirmation for delete irreversible describe consequences,No confirmation easy to dismiss accidentally,Critical
22,Modals,Form modals for quick input,Material Startup Clean,Clean background focus,Form labels clear,Smooth open transition,Use for short forms that should not navigate away,Long complex forms in modals,High
23,Modals,Full-screen modals for mobile complex content,Material Dark Mode,Immersive focused,Large readable clear,Slide up from bottom,Use on mobile for complex interactions,Small modals on mobile partial overlays,Medium
24,Modals,Image gallery lightbox,Dark Mode Minimalist,Dark background image focus,Minimal UI captions,Smooth zoom transitions,Full bleed images clear navigation,Cluttered UI small images,Medium
25,Modals,Alert dialogs for important messages,All styles platform,Semantic alert colors,Clear message actions,Attention bounce,Use for important info requiring acknowledgment,Overuse for minor info no clear dismiss,High
26,Tables,Sortable data tables for structured data,Dashboard Corporate Swiss,Zebra striping or borders,Clear headers aligned data,Sort indicators,Add sorting for columns users need to compare,No sorting column headers not clear,High
27,Tables,Responsive tables with horizontal scroll,Dashboard Mobile,Clear scroll affordance,Readable on small screens,Smooth scroll sticky columns,Horizontal scroll on mobile sticky first column,Squished unreadable tables hiding data,High
28,Tables,Expandable rows for additional details,Dashboard Material,Expand indicator clear,Detail content clear,Smooth expand animation,Use for secondary info that clutters table,Auto-expand all no visual indicator,Medium
29,Tables,Action columns for row operations,Dashboard E-commerce,Clear action buttons icons,Clear labels tooltips,Hover reveal actions,Right-align actions consistent placement,Actions left hidden always visible many,Medium
30,Tables,Pagination for large datasets,All styles,Clear current page navigation,Clear page numbers,Smooth page transitions,Show total items items per page,No total hidden pagination,Medium
31,Lists,Selectable lists with checkboxes,Material Dashboard,Checkbox alignment clear,Clear labels,Check animation selection state,Consistent checkbox placement batch actions,Inconsistent placement no clear selected state,High
32,Lists,Draggable lists for reordering,Material Startup,Drag handle clear,Clear item labels,Smooth drag preview,Show drag handle provide clear drop zones,No handle no visual feedback,Medium
33,Lists,Infinite scroll for feeds,Social Media,Clear loading indicator,Consistent items,Smooth item entrance,Use for browseable content show loading more,No loading state scroll to top missing,High
34,Lists,Virtual lists for large datasets,Dashboard Performance,Smooth scroll,Consistent heights,Smooth scroll performance,Use when 100 plus items maintain scroll position,Rendering all items janky scroll,Critical
35,Lists,Grouped lists with headers,Material Corporate,Group header styling,Clear section titles,Sticky headers,Group related items use sticky headers,No grouping unclear headers,Medium
36,Tabs,Horizontal tabs for few options,Material Minimalist Clean,Clear active state,Clear tab labels,Slide underline indicator,Use for 2-7 same-level content sections,Too many tabs unclear active state,High
37,Tabs,Scrollable tabs for many options,Material Mobile,Clear scroll affordance,Readable labels,Smooth scroll,Use when tabs exceed container show scroll,Squished tabs hidden tabs,Medium
38,Tabs,Vertical tabs for desktop sidebars,Dashboard Corporate,Clear active selected,Clear labels,Smooth active transition,Use for many options with space,Vertical tabs on mobile,Medium
39,Tabs,Tab content lazy loading,Performance Dashboard,Loading skeleton,Clear loading state,Smooth content reveal,Lazy load heavy tab content show skeleton,Loading all tabs upfront no loading state,High
40,Tabs,Pill tabs for tight spaces,Minimalist Modern,Clear selected pill,Compact labels,Smooth selection,Use for compact areas style filters,Too many pills no clear selected,Medium
41,Tooltips,Info tooltips for secondary details,All styles,Subtle background clear text,Concise helpful text,Fade in subtle,Show on hover for extra non-critical info,Tooltips for critical info too much text,Medium
42,Tooltips,Interactive tooltips with links,Dashboard Corporate,Clear clickable elements,Clear actionable text,Delay for interaction,Allow clicking links in tooltip keep open on hover,Disappearing before clickable no delay,Medium
43,Tooltips,Truncated text tooltips,All styles,Match UI styling,Full text reveal,Quick reveal,Show full text when truncated,Always showing never truncating,Low
44,Tooltips,Touch-friendly long press tooltips,Mobile Material,Clear visible,Readable text,Delay then reveal,Use long-press on mobile alternative to hover,No mobile alternative hover only,Medium
45,Tooltips,Positioned tooltips avoiding edges,All styles,Clear pointer,Readable any position,Smart positioning,Position avoiding viewport edges,Cut off tooltips off-screen,Medium
46,Dropdowns,Select dropdowns for many options,Material Clean,Clear selected option,Readable options,Smooth open close,Use for 5 plus options add search for 10 plus,Dropdown for 2-3 options better as radio,Medium
