No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Animation,Use transition utilities for smooth state changes,Apply transition classes for hover and focus states to improve perceived performance,"Use transition-all, transition-colors, or specific property transitions",Use CSS animations for simple hover effects,"<button class=""transition-colors duration-200 hover:bg-blue-600"">","<button style=""transition: all 0.2s"">",medium,https://tailwindcss.com/docs/transition-property
2,Animation,Prefer transform over position changes,Transforms are GPU-accelerated and perform better than top/left changes,Use translate-x and translate-y for movement animations,Animate top/left/right/bottom properties,"<div class=""transform hover:translate-x-2"">","<div class=""hover:left-2"">",high,https://tailwindcss.com/docs/translate
3,Animation,Use animation utilities for keyframe animations,Tailwind provides built-in animation utilities for common patterns,Use animate-spin for loading indicators,Create custom CSS for basic animations,"<div class=""animate-spin"">","@keyframes spin { ... }",low,https://tailwindcss.com/docs/animation
4,Animation,Control animation timing with duration utilities,Use consistent duration values across your application,Stick to the duration scale (75-1000ms),Use arbitrary duration values inconsistently,"<div class=""duration-300"">","<div class=""duration-[327ms]"">",low,https://tailwindcss.com/docs/transition-duration
5,Z-Index,Use the z-index scale consistently,Tailwind provides z-0 through z-50 plus z-auto,Use predefined z-index values from the scale,Use arbitrary z-index values like z-[9999],"<div class=""z-10"">","<div class=""z-[9999]"">",medium,https://tailwindcss.com/docs/z-index
6,Z-Index,Establish z-index layers for components,Define clear stacking contexts for modals dropdowns and tooltips,Create a z-index system: base(0) dropdown(10) modal(40) tooltip(50),Mix z-index values without a system,"<div class=""z-40""> <!-- modal -->","<div class=""z-[99999]"">",high,https://tailwindcss.com/docs/z-index
7,Z-Index,Use isolation to create stacking contexts,The isolate class creates a new stacking context,Use isolate on parent containers to scope z-index,Let z-index values leak across components,"<div class=""isolate"">","<div class=""relative"">",medium,https://tailwindcss.com/docs/isolation
8,Layout,Use Flexbox for one-dimensional layouts,Flex is ideal for rows or columns of items,Use flex for navigation bars and card layouts,Use flex for complex two-dimensional grids,"<div class=""flex items-center gap-4"">","<div class=""flex flex-wrap""> <!-- use grid -->",medium,https://tailwindcss.com/docs/flex
9,Layout,Use CSS Grid for two-dimensional layouts,Grid excels at rows AND columns simultaneously,Use grid for page layouts and card grids,Use nested flexbox for grid-like layouts,"<div class=""grid grid-cols-3 gap-4"">","<div class=""flex flex-wrap"">",medium,https://tailwindcss.com/docs/grid-template-columns
10,Layout,Use container for consistent max-widths,The container class centers content and applies responsive max-widths,Use container with mx-auto for centered layouts,Set fixed widths manually,"<div class=""container mx-auto px-4"">","<div class=""w-[1200px] mx-auto"">",medium,https://tailwindcss.com/docs/container
11,Layout,Prefer gap over margin for flex/grid spacing,Gap is cleaner and doesn't require negative margins or last-child selectors,Use gap-4 for consistent spacing between items,Use margin on children with last:mr-0,"<div class=""flex gap-4"">","<div class=""flex""><div class=""mr-4 last:mr-0"">",high,https://tailwindcss.com/docs/gap
12,Images,Use object-fit utilities for image sizing,Control how images fill their containers without distortion,Use object-cover for hero images and avatars,Let images stretch or distort,"<img class=""object-cover w-full h-48"">","<img class=""w-full h-48"">",high,https://tailwindcss.com/docs/object-fit
13,Images,Apply aspect-ratio for responsive images,Maintain consistent image proportions across screen sizes,Use aspect-video or aspect-square utilities,Use padding-bottom hack for aspect ratios,"<div class=""aspect-video"">","<div class=""pb-[56.25%] relative"">",medium,https://tailwindcss.com/docs/aspect-ratio
14,Images,Use rounded utilities consistently for images,Apply consistent border-radius to images across the application,Use rounded-lg or rounded-full for avatars,Mix different border-radius values on similar elements,"<img class=""rounded-full"">","<img class=""rounded-[13px]"">",low,https://tailwindcss.com/docs/border-radius
15,Images,Add loading lazy attribute for below-fold images,Defer loading of images not immediately visible,Add loading=lazy to images below the fold,Load all images eagerly,"<img loading=""lazy"" class=""..."">","<img class=""..."">",medium,https://developer.mozilla.org/docs/Web/HTML/Element/img#loading
16,Typography,Use the font-size scale consistently,Tailwind provides text-xs through text-9xl,Use text-sm text-base text-lg from the scale,Use arbitrary font sizes like text-[17px],"<p class=""text-base"">","<p class=""text-[17px]"">",medium,https://tailwindcss.com/docs/font-size
17,Typography,Apply font-weight utilities for emphasis,Use font-medium font-semibold font-bold for hierarchy,Use font-semibold for headings and font-normal for body,Use multiple weights inconsistently,"<h2 class=""font-semibold"">","<h2 class=""font-[550]"">",low,https://tailwindcss.com/docs/font-weight
18,Typography,Use leading utilities for line-height,Control line spacing for readability,Use leading-relaxed for body text,Use tight line-height for long paragraphs,"<p class=""leading-relaxed"">","<p class=""leading-none"">",medium,https://tailwindcss.com/docs/line-height
19,Typography,Apply tracking for letter-spacing,Adjust letter-spacing for headings and uppercase text,Use tracking-wide for uppercase labels,Apply tracking to body text,"<span class=""uppercase tracking-wide"">","<p class=""tracking-widest"">",low,https://tailwindcss.com/docs/letter-spacing
20,Typography,Use prose for rich text content,The typography plugin styles markdown/CMS content beautifully,Use prose class for blog posts and articles,Style rich text manually,"<article class=""prose lg:prose-xl"">","<article class=""text-base leading-7"">",medium,https://tailwindcss.com/docs/typography-plugin
