No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Layout,Fixed width layouts,responsive fluid container,Web,Fixed pixel widths do not adapt to different screen sizes causing horizontal scroll or wasted space,Use fluid layouts with max-width constraints and responsive breakpoints,Hardcode pixel widths that break on different screens,"<main className=""w-full max-w-7xl mx-auto px-4"">","<main style=""width: 1200px"">",High
2,Layout,No responsive grid,grid flexbox columns,Web,Single column or rigid layouts waste space on large screens and break on small ones,Use CSS Grid or Flexbox with responsive column counts,Fixed column layouts that do not adapt,"<div className=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4"">","<div className=""flex"">{items.map(i => <div style=""width: 33%"">)}",High
3,Layout,Missing container constraints,max-width reading,Web,Text lines that span full viewport width on large screens are hard to read,Constrain content width to 65-75 characters for readability,Allow content to stretch infinitely wide,"<article className=""prose max-w-prose mx-auto"">","<article className=""w-full"">",Medium
4,Layout,Z-index chaos,stacking context modal,Web,Arbitrary z-index values cause layering bugs with modals tooltips and dropdowns,Use systematic z-index scale and proper stacking contexts,Random z-index values competing for top layer,"--z-dropdown: 100; --z-modal: 200; --z-tooltip: 300;","z-index: 9999; // keep adding 9s",High
5,Layout,Viewport height issues,100vh mobile dvh,Web Mobile,100vh on mobile includes browser chrome causing content to be cut off,Use dvh or JavaScript-based viewport height for mobile,Rely on 100vh for full-screen mobile layouts,"height: 100dvh; /* or JS fallback */","height: 100vh; // broken on mobile",High
6,Header,Header too tall,sticky navigation,Web,Oversized sticky headers waste valuable screen real estate,Keep headers compact consider hiding on scroll down,Large headers that stay visible taking up space,"<Header className=""h-14 lg:h-16"">","<Header className=""h-32"">",Medium
7,Header,No mobile header adaptation,hamburger responsive,Web Mobile,Desktop headers with many items do not work on mobile screens,Collapse to hamburger or bottom nav on mobile show only essential items,"<Header>{isMobile ? <MobileNav /> : <DesktopNav />}</Header>","// same header all sizes",High
8,Header,Missing skip to content,accessibility keyboard,Web,Keyboard users must tab through entire header on every page,Add skip to main content link as first focusable element,No skip link forcing navigation through header,"<a href=""#main"" className=""sr-only focus:not-sr-only"">Skip to content</a>","// no skip link",High
9,Footer,Footer blocking content,sticky fixed mobile,Web Mobile,Fixed or sticky footers on mobile block content and reduce usable space,Use static footers that scroll with content on mobile,Persistent footer bars taking up mobile screen space,"<Footer className=""relative"">","<Footer className=""fixed bottom-0"">",Medium
10,Footer,Missing important links,legal sitemap,Web,Footers without expected links like terms privacy and contact seem unprofessional,Include legal links contact sitemap and social in footer,Minimal footer missing expected legal and contact links,"<Footer><Legal /><Contact /><Social /></Footer>","<Footer>Copyright 2024</Footer>",Low
11,Sidebar,Non-collapsible sidebar,toggle responsive,Web,Sidebars that cannot collapse waste space and obscure content on smaller screens,Make sidebars collapsible or hidden on mobile,Permanent sidebar that cannot be minimized,"<Sidebar collapsible collapsed={!isExpanded}>","<Sidebar className=""w-64""> // always visible",Medium
12,Sidebar,Sidebar scrolling issues,overflow scroll,Web,Sidebars that scroll independently cause confusing scroll behavior,Handle sidebar scroll carefully consider sticky positioning,Independent scroll causing dual scrollbar confusion,"<Sidebar className=""sticky top-0 h-screen overflow-auto"">","// body and sidebar both scroll",Medium
13,Modal,Modal not centered,position transform,Web,Modals that appear at strange positions are disorienting,Center modals vertically and horizontally in viewport,Modals appearing at top or off-center,"<Modal className=""fixed inset-0 flex items-center justify-center"">","<Modal style=""position: absolute; top: 100px;"">",Medium
14,Modal,No backdrop click close,dismiss UX,Web,Modals without click-outside-to-close violate user expectations,Allow clicking backdrop to close modals,Force users to find and click X button only,"<Backdrop onClick={onClose} /><ModalContent />","// click outside does nothing",Medium
15,Modal,No escape key close,keyboard accessibility,Web,Modals that cannot be closed with Escape key frustrate keyboard users,Close modals on Escape key press,Ignore escape key for modal dismissal,"useEffect(() => { const handler = (e) => e.key === 'Escape' && onClose(); }, [])","// no keyboard handling",High
16,Modal,Focus trap missing,accessibility tab,Web,Modals without focus trap allow tabbing to hidden content behind,Trap focus inside modal until closed,Tab navigates to content behind modal,"<FocusTrap><ModalContent /></FocusTrap>","<Modal>{content}</Modal> // no trap",Critical
17,Modal,Missing return focus,accessibility focus,Web,After closing modal focus should return to trigger element,Return focus to element that opened modal,Focus lost after modal closes,"const triggerRef = useRef(); onClose={() => { close(); triggerRef.current.focus(); }}","// focus goes to body",High
18,Dropdown,Dropdown positioning,flip viewport edge,Web,Dropdowns that extend beyond viewport edges are cut off or unusable,Auto-position dropdowns to flip when near edges,Fixed positioning ignoring viewport boundaries,"<Dropdown placement=""auto""> // uses Floating UI","<Dropdown style=""position: absolute; top: 100%"">",High
19,Dropdown,Click outside not closing,dismiss event,Web,Dropdowns that stay open when clicking elsewhere are annoying,Close dropdowns on click outside,Dropdown stays open until explicit close,"useOnClickOutside(ref, () => setOpen(false));","// must click button again to close",Medium
20,Dropdown,Keyboard navigation missing,arrow keys select,Web,Dropdowns without arrow key navigation exclude keyboard users,Support arrow keys for navigation Enter for selection,Mouse only dropdown interaction,"<Listbox value={selected} onChange={setSelected}> // Headless UI","// no keyboard support",High
21,Form,Labels not associated,htmlFor accessibility,Web,Form inputs without associated labels are inaccessible,Connect labels to inputs with htmlFor and id,Labels that do not connect to inputs,"<label htmlFor=""email"">Email</label><input id=""email"" />","<label>Email</label><input /> // not connected",Critical
22,Form,Submit on enter broken,form onSubmit,Web,Forms that do not submit on Enter break user expectations,Wrap form fields in form tag with onSubmit handler,Div wrapper preventing enter submission,"<form onSubmit={handleSubmit}><input /><button type=""submit"" /></form>","<div><input /><button onClick={submit} /></div>",High
23,Form,No autocomplete attributes,autofill browser,Web,Missing autocomplete attributes prevent browser autofill,Add appropriate autocomplete attributes for common fields,"<input type=""email"" autoComplete=""email"" />","<input type=""text"" /> // no autocomplete",Medium
24,Scroll,Scroll restoration broken,navigation history,Web,Pages that do not restore scroll position on back navigation frustrate users,Handle scroll restoration for SPA navigation,Reset to top on every navigation,"<ScrollRestoration /> // in React Router","// always scrolls to top",Medium
25,Scroll,Anchor links not working,hash navigation,Web,Anchor links that do not scroll to target are confusing,Ensure anchor links scroll to target element smoothly,Hash links that do nothing,"<a href=""#section"" onClick={smoothScroll}>Section</a>","<a href=""#section"">Section</a> // broken in SPA",Medium
26,Scroll,Infinite scroll without escape,pagination load more,Web,Infinite scroll that cannot be escaped traps users,Provide way to access footer or switch to pagination,Footer unreachable due to infinite scroll,"<InfiniteScroll hasFooter={<LoadMore />}> <Footer />","// footer blocked by infinite content",Medium
27,Images,No loading lazy,performance LCP,Web,Images loading eagerly waste bandwidth and slow page load,Lazy load below-fold images eagerly load above-fold,"<Image loading=""lazy"" /> // below fold <Image priority /> // hero","<img src={url} /> // all load immediately",High
28,Images,Missing width height,CLS layout shift,Web,Images without dimensions cause layout shift as they load,Specify width and height or use aspect-ratio,Images that shift content when loading,"<Image width={400} height={300} /> or aspect-ratio: 16/9","<img src={url} style=""width: 100%"" />",High
29,Typography,No font fallbacks,font-family system,Web,Custom fonts without fallbacks show flash or invisible text,Specify fallback fonts that closely match custom font,"font-family: 'Inter', system-ui, -apple-system, sans-serif;","font-family: 'CustomFont';",Medium
30,Typography,Flash of unstyled text,font-display swap,Web,Fonts that block rendering cause blank text during load,Use font-display swap and preload critical fonts,"@font-face { font-display: swap; } <link rel=""preload"" href=""font.woff2"" as=""font"">","// no font-display fonts block render",Medium
