No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Reactivity,Use $state for reactive variables,In Svelte 5 use $state rune for reactive declarations,Use $state rune for reactive variables,Use let for reactive state,"<script>
  let count = $state(0)
</script>
<button onclick={() => count++}>{count}</button>","<script>
  let count = 0 // Not reactive in Svelte 5
</script>",error,https://svelte.dev/docs/svelte/$state
2,Reactivity,Use $derived for computed values,Derived state automatically updates when dependencies change,Use $derived for values computed from state,Manually update computed values,"let count = $state(0)
let doubled = $derived(count * 2)
let quadrupled = $derived(doubled * 2)","let count = $state(0)
let doubled = $state(count * 2)
// Won't update when count changes",error,https://svelte.dev/docs/svelte/$derived
3,Reactivity,Use $effect for side effects,Effects run after state changes for side effects like logging or DOM manipulation,Use $effect for reactions to state changes,Use setTimeout or manual tracking,"$effect(() => {
  console.log(`Count is ${count}`)
  document.title = `Count: ${count}`
})","// Manual approach
function updateCount(val) {
  count = val
  console.log(`Count is ${val}`)
}",warning,https://svelte.dev/docs/svelte/$effect
4,Reactivity,Avoid unnecessary effects,Effects should only be used for side effects not for state derivation,Use $derived for computed state,Use $effect to update other state,"// Correct
let total = $derived(items.reduce((a, b) => a + b, 0))","// Wrong: effect for derived state
$effect(() => {
  total = items.reduce((a, b) => a + b, 0)
})",error,https://svelte.dev/docs/svelte/$effect#when-not-to-use-effects
5,Reactivity,Use $state.raw for non-reactive objects,Use raw state for objects that should not be deeply reactive,Use $state.raw for performance with large objects,Make everything deeply reactive,"let largeData = $state.raw(fetchedData)
// Only reassignment triggers updates","let largeData = $state(fetchedData)
// Every nested property is reactive
// Performance overhead",warning,https://svelte.dev/docs/svelte/$state#$state.raw
6,Props,Define props with $props rune,Use $props to declare component props in Svelte 5,Use $props for component inputs,Use export let for props in Svelte 5,"<script>
  let { name, age = 18 } = $props()
</script>
<p>{name} is {age}</p>","<script>
  export let name
  export let age = 18
</script>
// Svelte 4 syntax",warning,https://svelte.dev/docs/svelte/$props
7,Props,Provide default values for optional props,Always provide defaults for optional props to avoid undefined,Destructure with default values,Access potentially undefined props,"let {
  title = 'Untitled',
  size = 'md',
  disabled = false
} = $props()","let { title, size, disabled } = $props()
// All potentially undefined",warning,https://svelte.dev/docs/svelte/$props
8,Props,Use rest props for forwarding,Capture and spread remaining props to child elements,Use rest syntax for prop forwarding,Manually list every passthrough prop,"let { class: className, ...rest } = $props()
<button class={className} {...rest}>
  <slot />
</button>","let { class: className, onclick, disabled, type } = $props()
<button class={className} {onclick} {disabled} {type}>",info,https://svelte.dev/docs/svelte/$props#Renaming-props
9,Props,Type props with TypeScript,Define prop types for better IDE support and safety,Add TypeScript interface for props,Leave props untyped,"<script lang=""ts"">
  interface Props {
    name: string
    age?: number
  }
  let { name, age = 18 }: Props = $props()
</script>","<script lang=""ts"">
  let { name, age } = $props() // any types
</script>",warning,https://svelte.dev/docs/svelte/typescript
10,Bindings,Use bind: for two-way binding,Bind directive creates two-way data flow for form elements,Use bind:value for input elements,Manually handle input events,"<input bind:value={name} />
<input bind:checked={agreed} type=""checkbox"" />
<select bind:value={selected}>","<input
  value={name}
  oninput={(e) => name = e.target.value}
/>",info,https://svelte.dev/docs/svelte/bind
11,Bindings,Bind to component props,Use bind: to create two-way binding with component props,Use bind: when parent needs to read child state,Always use callbacks for child-to-parent,"<Slider bind:value={volume} />
// Parent can read and write volume","<Slider
  value={volume}
  onchange={(v) => volume = v}
/>
// More verbose",info,https://svelte.dev/docs/svelte/bind#Component-bindings
12,Bindings,Use bind:this for DOM references,Access DOM elements directly when needed,Use bind:this for DOM element references,Use querySelector or refs pattern,"<script>
  let canvas = $state()
  $effect(() => {
    const ctx = canvas?.getContext('2d')
  })
</script>
<canvas bind:this={canvas}></canvas>","<script>
  let canvas
  onMount(() => {
    canvas = document.querySelector('canvas')
  })
</script>",warning,https://svelte.dev/docs/svelte/bind#this
13,Bindings,Avoid overusing bindings,Bindings can make data flow harder to trace,Use bindings sparingly for forms,Bind everything for convenience,"// Form inputs - appropriate
<input bind:value={email} />
// Event callback - clearer data flow
<Modal onclose={() => showModal = false} />","// Too many bindings
<Modal bind:open={show} />
<Dropdown bind:selected={val} bind:open={dropOpen} />
// Hard to trace data flow",info,https://svelte.dev/docs/svelte/bind
14,Events,Handle events with on: prefix,Standard DOM events use the on: directive pattern,Use onclick onsubmit etc for event handlers,Use addEventListener,"<button onclick={handleClick}>Click</button>
<form onsubmit={handleSubmit}>","<button use:click={handleClick}>
// Wrong directive",error,https://svelte.dev/docs/svelte/Event-handlers
15,Events,Prevent default and stop propagation,Use event modifiers or manual event methods,Call event methods in handler or use modifiers,Forget to prevent default on forms,"<form onsubmit={(e) => {
  e.preventDefault()
  submit()
}}>
// or with modifier
<form onsubmit|preventDefault={submit}>","<form onsubmit={submit}>
  <!-- Page reloads -->
</form>",error,https://svelte.dev/docs/svelte/Event-handlers#Event-modifiers
16,Events,Create custom component events,Use callback props for component events in Svelte 5,Pass callback functions as props,Use createEventDispatcher in Svelte 5,"<!-- Child -->
<script>
  let { onclick } = $props()
</script>
<button onclick={onclick}>Click</button>
<!-- Parent -->
<Child onclick={() => console.log('clicked')} />","<!-- Svelte 4 pattern -->
<script>
  import { createEventDispatcher } from 'svelte'
  const dispatch = createEventDispatcher()
</script>",warning,https://svelte.dev/docs/svelte/legacy-createEventDispatcher
17,Events,Type event handlers properly,Add TypeScript types for event handler props,Type callback props with proper event types,Use any for event handlers,"<script lang=""ts"">
  interface Props {
    onclick: (e: MouseEvent) => void
    onsubmit: (data: FormData) => Promise<void>
  }
</script>","<script lang=""ts"">
  let { onclick }: { onclick: any } = $props()
</script>",warning,https://svelte.dev/docs/svelte/typescript
18,Lifecycle,Use $effect for mount/unmount logic,Effects with cleanup handle component lifecycle,Return cleanup function from $effect,Use onMount/onDestroy in Svelte 5,"$effect(() => {
  const interval = setInterval(tick, 1000)
  return () => clearInterval(interval)
})","import { onMount, onDestroy } from 'svelte'
onMount(() => {
  interval = setInterval(tick, 1000)
})
onDestroy(() => clearInterval(interval))",warning,https://svelte.dev/docs/svelte/$effect#Cleanup
19,Lifecycle,Run effect once with untrack,Use untrack to prevent effect re-running,Use untrack for initialization logic,Let effects re-run unnecessarily,"import { untrack } from 'svelte'
$effect(() => {
  untrack(() => {
    initializeOnce()
  })
})","$effect(() => {
  initializeOnce()
  // Re-runs on every state change
})",info,https://svelte.dev/docs/svelte/$effect#Untracking
20,Lifecycle,Use $effect.pre for before-DOM updates,Pre-effects run before DOM updates,Use $effect.pre for scroll position preservation,Try to read DOM in regular effect too early,"$effect.pre(() => {
  scrollPosition = container?.scrollTop
})
// After DOM update, restore position
$effect(() => {
  container.scrollTop = scrollPosition
})","$effect(() => {
  // DOM might not be updated yet
  const height = container?.scrollHeight
})",info,https://svelte.dev/docs/svelte/$effect#$effect.pre
21,Stores,Use Svelte stores for shared state,Stores provide reactive state accessible across components,Create stores for cross-component state,Pass state through many prop levels,"// stores/counter.js
import { writable } from 'svelte/store'
export const count = writable(0)
// Component
import { count } from './stores/counter'
<button onclick={() => $count++}>{$count}</button>","// Prop drilling
<App {count} {setCount} />
  <Page {count} {setCount} />
    <Counter {count} {setCount} />",warning,https://svelte.dev/docs/svelte/svelte-store
