STT,Style Category,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
1,Glassmorphism,frosted glass translucent blur layered depth floating cards semi-transparent overlay soft light,backdrop-filter: blur(); background: rgba(255 255 255 / 0.1); border: 1px solid rgba(255 255 255 / 0.2); box-shadow: 0 8px 32px rgba(0 0 0 / 0.1),Use backdrop-filter with blur 10-20px; Apply semi-transparent backgrounds (0.1-0.3 opacity); Add subtle white border for glass edge; Layer elements with z-index; Use soft shadows for depth,--glass-blur: 12px; --glass-bg: rgba(255 255 255 / 0.15); --glass-border: rgba(255 255 255 / 0.2); --glass-shadow: 0 8px 32px rgba(0 0 0 / 0.1)
2,Neo-Brutalism,bold raw chunky harsh shadows thick borders black outlines unconventional asymmetric loud,border: 3px solid #000; box-shadow: 4px 4px 0 #000; background: solid-colors; font-weight: 900; transform: rotate(-2deg),Use solid bold colors without gradients; Apply thick black borders (2-4px); Add hard offset shadows (no blur); Use chunky sans-serif fonts; Embrace asymmetry and rotation,--brutal-border: 3px solid #000; --brutal-shadow: 4px 4px 0 #000; --brutal-radius: 0; --brutal-rotation: -2deg
3,Minimalist Modern,clean simple whitespace essential elegant refined understated sophisticated subtle,max-width containers; generous padding; line-height: 1.6+; color palette limited to 2-3; font-size hierarchy clear,Limit color palette to 2-3 colors; Use generous whitespace (padding 2-4rem); Employ clear typography hierarchy; Remove decorative elements; Focus on essential content only,--min-spacing: 2rem; --min-colors: 3; --min-line-height: 1.7; --min-font-scale: 1.25
4,Dark Mode Immersive,dark theme night mode low light high contrast glowing accents ambient,background: #0a0a0a to #1a1a1a; color: #e5e5e5; accent colors bright; reduced white for less eye strain,Use true dark (#0a0a0a) or soft dark (#1a1a1a); Apply bright accent colors sparingly; Ensure WCAG contrast ratios; Add subtle gradients for depth; Use elevated surfaces for hierarchy,--dark-bg-primary: #0a0a0a; --dark-bg-elevated: #1a1a1a; --dark-text: #e5e5e5; --dark-accent: #3b82f6
5,Neumorphism Soft UI,soft shadows inset pressed raised tactile subtle depth skeumorphic,box-shadow: 8px 8px 16px darker -8px -8px 16px lighter; background: matches parent; border-radius rounded,Match element background to parent; Apply dual shadows (dark bottom-right and light top-left); Use subtle color differences; Ensure sufficient contrast for accessibility; Keep interactions clear,--neu-light: #ffffff; --neu-dark: #d1d1d1; --neu-bg: #e8e8e8; --neu-radius: 16px; --neu-distance: 8px
6,Material Design 3,elevation surfaces tonal colors dynamic ripple responsive adaptive systematic,elevation shadows 1-5 levels; ripple effects; tonal surfaces; rounded corners 12-28px; motion curves,Implement elevation system (5 levels); Use tonal color surfaces; Apply ripple interaction feedback; Follow 8dp grid system; Use Material motion curves,--md-elevation-1: 0 1px 2px rgba(0 0 0 / 0.3); --md-surface-tonal: var(--primary-90); --md-radius-md: 12px; --md-grid: 8px
7,Flat Design 2.0,flat colors subtle shadows minimal gradients clean icons simple shapes,flat solid colors; subtle long shadows; simple iconography; bold typography; limited palette,Use flat solid colors; Add subtle long shadows for depth; Employ simple geometric icons; Use bold sans-serif typography; Maintain limited color palette,--flat-shadow: 0 2px 4px rgba(0 0 0 / 0.1); --flat-radius: 4px; --flat-colors: solid; --flat-icons: simple
8,Skeuomorphic Modern,realistic textures depth tactile familiar physical metaphors detailed,gradients mimicking light; detailed textures; realistic shadows; familiar UI metaphors,Use realistic gradients and lighting; Apply subtle textures; Create depth with layered shadows; Reference familiar physical objects; Balance realism with usability,--skeu-gradient: linear-gradient(180deg highlight to shadow); --skeu-texture: subtle-noise; --skeu-shadow: layered-realistic
9,Corporate Professional,trustworthy reliable established authoritative conservative structured formal,navy/gray palette; structured grid; serif or clean sans; professional imagery; clear hierarchy,Use professional color palette (navy gray); Implement structured grid layouts; Choose professional typography; Use high-quality business imagery; Maintain clear information hierarchy,--corp-primary: #1e3a8a; --corp-secondary: #64748b; --corp-spacing: 1.5rem; --corp-font: system-ui
10,Playful Friendly,fun colorful rounded approachable whimsical cheerful energetic bouncy,bright saturated colors; large border-radius (16-24px); playful illustrations; bouncy animations,Use bright saturated colors; Apply large border-radius (16-24px); Include playful illustrations; Add bouncy micro-animations; Use friendly rounded typography,--play-radius: 20px; --play-bounce: cubic-bezier(0.68 -0.55 0.265 1.55); --play-colors: saturated-bright
