No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Routing,Use the App Router for new projects,App Router provides improved performance and features over Pages Router,Use app/ directory for new Next.js 13+ projects,Start new projects with Pages Router,"app/dashboard/page.tsx","pages/dashboard.tsx",medium,https://nextjs.org/docs/app/building-your-application/routing
2,Routing,Create route segments with folders,Each folder in app/ represents a route segment,Use folders for URL segments with page.tsx inside,Create routes with individual files,"app/blog/[slug]/page.tsx","app/blog-[slug].tsx",high,https://nextjs.org/docs/app/building-your-application/routing/defining-routes
3,Routing,Use dynamic routes with brackets,Create dynamic segments using [param] folder names,Use [id] for single params [...slug] for catch-all,Hardcode all possible routes,"app/products/[id]/page.tsx","app/products/1/page.tsx app/products/2/page.tsx",high,https://nextjs.org/docs/app/building-your-application/routing/dynamic-routes
4,Routing,Implement route groups with parentheses,Group routes without affecting URL structure,Use (marketing) (shop) for logical grouping,Create unnecessary URL nesting,"app/(marketing)/about/page.tsx","app/marketing/about/page.tsx // adds /marketing to URL",medium,https://nextjs.org/docs/app/building-your-application/routing/route-groups
5,Routing,Use parallel routes for complex layouts,Render multiple pages in same layout simultaneously,Use @modal @sidebar for parallel rendering,Load everything in single page component,"app/@modal/login/page.tsx","// All modals in one page",medium,https://nextjs.org/docs/app/building-your-application/routing/parallel-routes
6,Rendering,Default to Server Components,Server Components reduce client bundle size and improve performance,Keep components server-side unless client features needed,Add use client to every component,"export default function Page() { }","'use client'; export default function Page() { }",high,https://nextjs.org/docs/app/building-your-application/rendering/server-components
7,Rendering,Add use client only when necessary,Client components are needed for hooks events and browser APIs,Add use client for useState useEffect onClick,Add use client for static display components,"'use client'; function Counter() { const [count, setCount] = useState(0) }","'use client'; function StaticCard() { return <div>...</div> }",high,https://nextjs.org/docs/app/building-your-application/rendering/client-components
8,Rendering,Push client boundaries down the tree,Keep server components as parents passing data to client children,Extract interactive parts into small client components,Make entire page tree client components,"<ServerWrapper><ClientButton /></ServerWrapper>","'use client'; // entire page",high,https://nextjs.org/docs/app/building-your-application/rendering/composition-patterns
9,Rendering,Use loading.tsx for loading states,Create loading UI that shows while route segments load,Add loading.tsx next to page.tsx for automatic loading UI,Handle all loading states manually in components,"app/dashboard/loading.tsx","// Manual loading state in page.tsx",medium,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming
10,Rendering,Use error.tsx for error boundaries,Create error handling UI for route segments,Add error.tsx with reset function for recovery,Let errors crash the application,"app/dashboard/error.tsx with 'use client'","// No error handling",high,https://nextjs.org/docs/app/building-your-application/routing/error-handling
11,Data Fetching,Fetch data in Server Components,Fetch data directly in async Server Components,Use async/await in server components,Fetch all data on client with useEffect,"export default async function Page() { const data = await fetch() }","'use client'; useEffect(() => fetch(), [])",high,https://nextjs.org/docs/app/building-your-application/data-fetching/fetching
12,Data Fetching,Use React cache for request deduplication,Deduplicate fetch requests across components,Wrap fetch functions with React cache,Fetch same data in multiple components,"const getData = cache(async () => fetch(...))","// Same fetch in Header Footer Sidebar",medium,https://nextjs.org/docs/app/building-your-application/caching#react-cache
13,Data Fetching,Configure fetch caching appropriately,Control caching behavior with fetch options,Use revalidate and cache options explicitly,Rely on default caching for all requests,"fetch(url, { next: { revalidate: 60 } })","fetch(url) // unclear caching",medium,https://nextjs.org/docs/app/building-your-application/data-fetching/caching-and-revalidating
14,Data Fetching,Use revalidatePath for on-demand revalidation,Purge cache when data changes,Call revalidatePath after mutations,Let stale data persist after updates,"'use server'; revalidatePath('/products')","// Data stays stale after mutation",high,https://nextjs.org/docs/app/api-reference/functions/revalidatePath
15,Data Fetching,Implement streaming with Suspense,Stream UI progressively as data loads,Wrap slow components in Suspense boundaries,Wait for all data before rendering anything,"<Suspense fallback={<Skeleton />}><SlowComponent /></Suspense>","await Promise.all([slow1, slow2]) // blocks all",medium,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming#streaming-with-suspense
16,Images,Use next/image for all images,Next.js Image component provides automatic optimization,Import Image from next/image,Use HTML img tag directly,"import Image from 'next/image'; <Image src='...' />","<img src='...' />",high,https://nextjs.org/docs/app/building-your-application/optimizing/images
17,Images,Always provide width and height,Prevent layout shift with explicit dimensions,Set width and height or use fill prop,Omit dimensions causing layout shift,"<Image src='...' width={800} height={600} />","<Image src='...' /> // missing dimensions",high,https://nextjs.org/docs/app/api-reference/components/image#width
18,Images,Use fill for responsive images,Fill parent container with object-fit styling,Use fill with relative positioned parent,Use fixed width/height for all images,"<div style={{position:'relative'}}><Image fill /></div>","<Image width={1920} height={1080} /> // always huge",medium,https://nextjs.org/docs/app/api-reference/components/image#fill
19,Images,Configure remote image domains,Allow external images from specific domains,Add domains or remotePatterns to next.config.js,Leave remote images unconfigured causing errors,"images: { domains: ['cdn.example.com'] }","// Remote images fail to load",high,https://nextjs.org/docs/app/api-reference/components/image#remotepatterns
20,Images,Use priority for LCP images,Mark above-fold images as priority for faster loading,Add priority to hero images and logos,Let critical images lazy load,"<Image priority src='/hero.jpg' />","<Image src='/hero.jpg' /> // lazy loads",high,https://nextjs.org/docs/app/api-reference/components/image#priority
21,Fonts,Use next/font for font optimization,Automatic font optimization and zero layout shift,Import fonts from next/font/google or local,Load fonts with link or @import,"import { Inter } from 'next/font/google'","<link href='fonts.googleapis.com/...' />",high,https://nextjs.org/docs/app/building-your-application/optimizing/fonts
22,Fonts,Apply fonts via CSS variable,Use CSS variables for flexible font application,Set font as CSS variable in layout,Apply font class to every element,"<body className={inter.variable}>","<body className={inter.className}>",medium,https://nextjs.org/docs/app/building-your-application/optimizing/fonts#using-a-css-variable
23,Fonts,Subset fonts to reduce size,Include only needed character subsets,Specify subset option in font config,Load entire font including unused characters,"const inter = Inter({ subsets: ['latin'] })","const inter = Inter({ subsets: ['latin', 'cyrillic', 'greek'] })",medium,https://nextjs.org/docs/app/building-your-application/optimizing/fonts#specifying-a-subset
